question,answer,Declarative_Text
"Good afternoon, Miss Bonhomme.",Good afternoon. | (Plaintiff's Exhibit No. PT1163 for i.d.) f
"Okay. So first line there says, ""Conventional wisdom has long held that anyone who has not started smoking by age 18 is unlikely ever to become a smoker."" Do you see that?",Yes. \
And what Mr. Johnston is referring to there is the conventional wisdom held by the individuals within Philip Morris?,
"Right. I mean, the people who work for Philip Morris are also a part of society, aren't they?","Yes, they are. i"
"Yes. So, I mean, if it's society, it's six and one-half dozen of the other. But he's saying that people have understood, people who work for Philip Morris presumably because that's who he's writing to is his colleague, John Zoler, people have long conventional wisdom has long held that anyone who has not started smoking by age 18 is unlikely ever to become a smoker, right?","That's what he wrote, yes. |"
"All right. And he goes on in this document and actually says that it's a little bit off, that a better way to say it is that anyone who has not become a smoker by age 25 isn't likely to become a smoker. He kind of extends it out a little bit, right?",Quite a bit. I
"Yeah, right. And we look back at the next page. We can see some of the data on this. So the table that he's got there is white males and white females, right? 0 A. Yes, yes. |",
"If you just look at the line in the middle there, that percent of smokers who started before age 4 A. Yes. f",
"And the same is true for both the white males and the white females, that's kind of how it's broken down?","Yes, and I was confused by that information because I it things don't add up on this chart, so I thought that might be a typo, and it's supposed to be percent of smokers who started before age 21, but I I'm not a hundred percent sure. But if you look at the data above it, 9 started before 18, started 18 to"
Right.,"and then percent of smokers who started before age 18, the numbers don't really line up."
The math doesn't?,"Yeah, no, it doesn't, so I was left with the impression that that should be -- should be percent of smokers who started before age 21."
Um-hum. Well,"But I don't have the original data to, you know, go back and 0 Q. Yeah. Let's look at the line above it, 21 then, just so it's clear. So for the started before with the white males there you have 61.5, of those who graduate maybe that's what it is it's because it's 4 high school grad, not high school grad, some college, college graduate. No, the math still doesn't make sense, A Q A does it? No, it doesn't. ij No. All right. And I spent time with this trying to explain ji this data to myself, and I wasn't able to be clear. ji Q A Okay. Well So as an attorney, if you can explain it to ji someone who's worked in market research, that would be ji app] don got reciated. ji Q 't Sure. You know, rather than do that, why I just not use this document. Sometimes you just to pack your lunch and go home."
"Good afternoon, Miss Bonhomme.",Good afternoon.
"You know my name is Bill Geraghty, and I represent Philip Morris USA?",Yes.
"I'm going to ask you some questions in follow-up to the questions that Mr. Bigger asked you about. And at some point I'm going to ask you to explain to the jury your background and your credentials and your work history and in particular with Philip Morris. But before I do that, I want to ask you a couple of questions. And what I'd like you 0 to do is could you take a look at the very last document that Mr. Bigger talked to you about? It's a 2 January 13th, 1983 memo from a Mr. Myron Johnston to a Mr. Jon Zoler, right? 4 A. Yes. 5 Q. And you and Mr. Bigger had he asked you a number of questions at various points during the deposition about the percentage of people who begin smoking under the age of 18. Right?","Yes, he did. j:"
"You and Philip Morris acknowledge that some people do begin smoking under the age of 18, right?",That's right.
"If I understood what you were saying to Mr. Bigger correctly, what is more complicated and more difficult to identify precisely is the exact percentage ; of people who may begin smoking before the age of 18; is that fair?",That's fair. j
"During the course of the afternoon in particular, Mr. Bigger showed you a number of documents written by this individual who was a former employee of Philip Morris, Mr. Johnston, correct?",Correct. i
"And he was employed by Philip Morris, right?","Yes, he was. \"
His position was a demographer?,Yes. j
And what is a demographer just briefly?,It's a position where an individual studies I the demographics of the population and various : demographic statistics of the population to understand facts about American society.
And that was his role at Philip Morris?,"Yes, it was."
"Okay. He was not in the Marketing Department or the Market Research Department, was he?","No, he wasn't. He worked in Richmond, Virginia. The Marketing and Marketing Research Departments were in New York City."
"Now did Well, let me back up. Mr. Bigger showed you a number of statements written by Mr. Johnston in 1975, in the late '70s and right up to 1980 and '81 where Mr. Johnston expressed his view that the majority or the overwhelming majority of people begin smoking before the age of 18, correct?",Correct.
"The document that Mr. Bigger just handed you at the end of his examination is from several years later in 1983, right?",Yes.
"In that document, does Mr. Johnston acknowledge in 1983 that many of the statements he had made earlier on that subject were, in fact, incorrect?",
"Right. He actually in the very second sentence of that document said, ""I had also pretty much accepted that as an article of faith,"" correct?",Yes.
"But if we go deeper into the document in the second paragraph, he acknowledges that the data he's now looking at indicates that the percentage of people who begin smoking before their 18th birthday is in the range of about 35 percent. Correct?",Yes. Correct.
"And so if we drop down to the first sentence in the fourth paragraph, and this was a statement that Mr. Bigger had referenced to you, Mr. Johnston says, clearly, ""Conventional wisdom has to be rephrased to 0 read 'anyone who has not become a smoker by age 25 is unlikely to become a smoker, '"" right?",Right.
Okay. So that's his rephrasing of what he 4 thinks the conventional wisdom is as of 1983 given the data he's looking at at that point in time?,Yes.
Now let's shift gears for a second. And I want to talk to you about Barbara Lourie. You understand that Barbara Lourie is the cigarette smoker and that her husband is the plaintiff who has filed this lawsuit?,"That's my understanding, yes."
In the course of preparing to testify today were you provided with some information about Barbara Lourie's smoking history?,"Yes, I was."
Now based on the information you provided from the deposition testimony of her husband did Barbara Lourie smoke any Philip Morris brand of cigarettes before she turned the age of 18?,
"Okay. And based on the information you were 2 provided from the deposition testimony of her husband, when did Barbara Lourie first start smoking a Philip 4 Morris brand of cigarettes on any regular basis?","It was in the 1970s. And she would have been about 30ish, maybe a little younger, maybe a little older."
So I think Mr. Bigger and you agreed that Barbara Lourie was born in 1945; is that correct?,That's correct.
"So if Barbara Lourie started smoking, and the brand that she started smoking in the mid 1970s was Marlboro Red?",Marlboro Red.
"Okay. So if he she started smoking Marlboro Red in the mid 1970s, and let's say for purposes of this question around 1975, how old would she have been?",She would have been 30.
"An adult cigarette smoker, right?","Yes, an adult cigarette smoker."
And smoking for a number of years before she started smoking Marlboro Red on a regular basis?,Yes.
"There was some testimony about Marlboro 0 Green which is Marlboro Menthol, right?",That is correct.
Have you been provided with any information to indicate that Barbara Lourie ever smoked Marlboro 4 Green?,No.
"If Barbara Lourie had started smoking Marlboro Red in the mid 1970s, according to her husband, would every pack of cigarettes, every pack of \ Marlboro cigarettes she bought, would that have had a Surgeon General's warning on the pack?",Yes. j
"Now having had the opportunity to review with Mr. Bigger the series of documents he showed you from the 1940s through the early 1980s, do you see any \ connection between the documents that were showed to you by Mr. Bigger and Barbara Lourie starting to smoke ; Marlboro Red cigarettes in the mid 1970s?",
Now there's been a couple of references to Philip Morris's Youth Smoking Prevention Program. And !; you were involved in that program?,"Yes, I was."
What was your position with the program?,I worked as the director of the research i function of youth smoking prevention. i
And for how many years were you involved with or part of Philip Morris's Youth Smoking Prevention Program?,About four years.
"All right. Now as director of research of the Youth Smoking Prevention Program, did you read scientific studies done by government agencies, the public health community, and other experts that talked about the reasons why people under the age of 18 begin smoking cigarettes?","Yes, I did. It was an important part of the job."
"And you actually referred to some of this research, did you not, during the course of Mr. Bigger's questions?","Yes, I did."
"Okay. And as a matter of fact, I think he showed you a document well, let me ask it this way. Were you shown a document where a Philip Morris employee had sort of basically quoted significantly from a lot of the research that had been done on that particular subject? 0 A. Yes.",
"All right. And you've become familiar with 2 those studies and that research as part of your work with the Youth Smoking Prevention Program, correct?","Studies of that type, yes."
"You alluded to some of this with Mr. Bigger, but, again, for the benefit of the jury give us the top three or four reasons cited by the experts regarding why someone under the age of 18 might start smoking cigarettes.","Well, there are many reasons, but at the top of the list is peer pressure. Kids are very much influenced by what their friends do. Parental smoking is also a risk factor for a young person smoking. And then access to being able to get cigarettes. You know, if a kid can't get cigarettes even if they try one or two cigarettes from a friend, if they can't buy them and don't have a steady supply, they don't go on to become a smoker. So I say those are the ones that really are at the top of the list. And then there would be protective factors, things that would discourage kids from smoking that, you know, would be important also."
"So let me just I'm going to package what you said and kind of rephrase it. So among at least, 0 among the top reasons would be peer pressure, whether their parents smoke cigarettes and whether they, in fact, have access to cigarettes?",Yes. 4 Q. Would you include within the broad umbrellas of peer pressure and parental smoking also whether they have older siblings or friends who smoke cigarettes?
Okay.,Because that's an important access point for young people.
Okay. Let's go back to Barbara Lourie for just a moment. Have you seen information that shows how Barbara Lourie first started to smoke cigarettes in the 1950s?,"I heard information, yes."
And what did you hear?,That she took cigarettes from her parents.
"Okay. I mean, is that method by which or that happenstance by which some people under the age of 18 get access to cigarettes and start smoking consistent or typical with the research that you've read over the years?",Yes.
"Have you seen any connection between 0 well, let me strike that question. Let's talk about your background a little bit. And before I get into your education, are you married, Miss Bonhomme?","Yes, I am."
And do you h a v e c h i l d r e n ?,I have two. I have a boy and a girl. s
And are they adults now?,Yes. |;
"Okay. If you could, and just briefly, tell us about your educational background beginning with where you went to college.","I went to college at Rider College in New j: Jersey, and I have an undergraduate degree in marketing :| and enough credits to have a major in accounting as \ well. And then I have a grad graduate degree in tax : accounting which is an MBA, and I obtained the graduate I degree by going to school in the evening while working in the field of marketing research."
"Okay. So your graduate degree, if I understand correctly, is in tax accounting?",Yes.
All right.,It's in but it's an MBA. j
It's an MBA. All right. And that was at what university?,Fairleigh Dickinson University. j:
"And then upon graduating with the MBA in tax accounting, walk us through, if you could, your initial employment after graduating from school.","Well, I initially, my initial part-time : employment was after my undergraduate degree because I got the graduate degree In the evening while going to school for many years at night while working. So my first position out of college in with my degree in marketing was I worked as a forecaster for Burlington Industries, and I had responsibility for forecasting the production of fabric in their manufacturing centers, which were mostly in the southern part of the United States."
"Okay. And let me ask you to pause, and I want to you explain that because I want you to explain to the jury what a forecaster is, and I want you to do that because you had talked about some of the documents that Mr. Johnston had written as being forecasting documents. So first what is a forecaster?","A forecaster is someone who uses information, and they do an analysis to try to predict what either a company should make or what a company should buy or what the market share is going to be for a brand. So the forecasting job that I had was I had to look at marketplace information and then use that to build a forecast so that the company that I worked for would make the right amount of material in their manufacturing centers . So"
"Is part of forecasting, at least, trying to determine the demand for a product within the market?","That's a piece of it, yes."
Okay. So you did that as one of your first jobs right out of college?,Right out of college.
"Okay. If you continue, then, with the work you did from that point forward, please...","Then the next position I moved I wanted to work in more in survey marketing research, so I went to work at a, what's called a marketing research supplier."
"Let me ask you to stop here for a second. You've used the term ""marketing research."" What is marketing research?","Marketing research is studying the marketplace on behalf of a company so that the company can be informed about either its consumers or what's going on in the marketplace, like what brands are popular, what brands are not popular so that they can help the company make better decisions. Marketing researchers also study the consumer by showing that consumer some of the ideas that companies are thinking about putting into the marketplace to get reactions."
Okay. And so you said you started you were interested in jobs in marketing research.,Yes.
"And I sort of cut you off to ask you to explain that before you told us about the jobs you actually obtained, so",Yes.
"continue, please.","So my next position I joined a company called Marketing Information Systems. And they had a number of large corporations as clients. And I had responsibility for writing questionnaires and overseeing the collection of feedback from consumers and then writing, charting up the data and writing reports for these clients to give them feedback on what they were thinking about putting in the market or what was going on in the marketplace."
"So if I understand what you're telling me correctly, a lot of what's involved in marketing research is actually speaking directly with consumers 0 to try to understand what they might want, what they need and what they like?","It's either done through interviews, it could be through surveys, questionnaires or it could be through like maybe a focus group process. But, yes, a big piece of consumer research is getting feedback from consumers on the ideas that a company is thinking of putting into the marketplace and then along the way assessing their preferences in the marketplace."
So do most consumer product companies have a market research or a Marketing Research Department or arm?,"Yes, they do."
Give us a flavor for some of the types of products for which you did marketing research or worked on before this is all before we get to Philip Morris.,"Sure. The high prime responsibility when I became more senior in the company for work on the Seagram's business, Seagram's made spirits, they were in the alcohol business. And then I had prime responsibility for one of the divisions of Johnson & Johnsons. So those were the two largest clients in terms of my workload. But in addition to that, over the course of the years that I worked there I worked on Kenner Toys, Block Drug, American Cyanamid, so many companies. Bristol-Myers, Clairol. I mean, I had a broad they had quite a few clients in at this company. And in my more junior years there I would handle projects on various clients at various points in time."
Now tell us how it is that you came to work for Philip Morris.,"I was recruited by a headhunter. They reached out to me about a position at Philip Morris and another company, and I came on the interview and was interviewed a number of times, and I was offered a job."
And what year was this that you started working for Philip Morris?,In 1979.
All right. And what was your first position with Philip Morris?,I was an analyst in the Marketing Research Department.
And briefly what does an analyst in the Marketing Research Department do?,"Pretty much the same type of work I was doing when he worked at the marketing research company. I was, you know, writing surveys, analyzing data, overseeing the collection of data and overseeing the kinds of companies similar to the company I had worked for. And in that process then I would support the brand organization. So I would work based on what the marketing organization wanted to know about some of the things they were putting in the market. I would be the person who would collect that information and analyze it and come back to them with knowledge."
"Okay. You've used the term ""brand organization.""",(Nodding head).
"What do you mean when you say ""brand organization? ""","I mean, the marketing organization. The way the company is structured there's a department that has responsibility for each of the brands. So like Marlboro has, in the brand organization Marlboro has people who are dedicated to working on Marlboro. And they are the group that coordinate the efforts of the company for Marlboro. And they oversee what goes into the marketplace on behalf of Marlboro. So the Marketing Research Department helps support the brand group so that when they put something in the market we've already gotten feedback from consumers. So what goes into the market is something that, you know, we think consumers are going to like. 0 Q. So when you refer to brand, you mean Marlboro was a brand?"
Benson & Hedges is a brand?,Yes.
"Of b o t h b r a n d s o f c i g a r e t t e s made by P h i l i p n a t u r e ? Philip Morris. Coca Cola would be a brand? That's correct. Pepsi would be a brand? That's correct. Tide is a brand. Kleenex would be a brand, things of that Yes, yes. And when I say consumers at Philip Morris, it's different from the consumers when I worked at the marketing research company, consumers would be adult smokers.",
"Okay. Now you've mentioned market research, and you explained what that is, and you mentioned marketing. Were there was there both a market research and a Marketing Department at Philip Morris?",Yes.
"Can you explain difference, please?","Yes. The Marketing Research Department studies either what's going on in the marketplace or they study the consumer. And when they study the consumer, they study the consumer by getting feedback on some of the programs that maybe the Marketing Department wants to put in the market. So let's say the Marketing Department wants to change the pack design of one of the brands. They would coordinate with the Marketing Research Department. The Marketing Research Department would write a questionnaire, design a methodology and interview people and maybe show these adult smokers the packs that were under consideration, get that information back and then report back to the Marketing Department. The Marketing Department would be the group that ultimately made the decision on what was going to go in the marketplace and oversaw the programs in the marketplace."
"So they're separate departments, but they work together?","Yes, they do."
And the research developed by marketing research informs presumably the decisions that the Marketing Department ultimately makes?,"Yes, it does."
"If you could, walk us through the positions that you held while you were employed with Philip Morris USA.","Okay. Well, I started as an analyst in the Consumer Research Department. And I worked, then I was then I was promoted through that department until I basically became the director of the Consumer Research Department. For a portion of the time I worked three days a week. It was when my children were young, and I wanted to spend more time with them. So for about ten years during the time frame I was in the Consumer Research Department, I worked as a consultant pretty much functioning at the manager level."
So Okay. So you were working less than full time?,Yes.
But still performing the same duties as when you were a full-time employee?,Yes.
And that was something you wanted to do and Philip Morris was was happy to allow to do that?,"Yes, they accommodated what I requested."
Now you used the term Consumer Research Department. Is there a difference between that and marketing research or market research?,"Yes, the Consumer Research Department studies the consumer, and a portion of the Marketing Research Department is a there's the entire organization would be called market research, and there are two main components. One is consumer research where that group studies the consumer, and the other is a group of market researchers who study the marketplace. They would look at what brands are selling. They would look at forecasting for what brands they think will grow versus decline and study what's going on in the market. Not necessarily with people."
Okay. So you were telling us that at this point at least you had become the director of the Consumer Research Department?,Yes.
And did you hold other positions thereafter?,"I did. In 1998, so basically from 1979 to 1998 I was in a capacity in the Consumer Research Department with various positions and various types of work. And my span of control increased. And in 1998 I became the director of the Direct Marketing Department."
And what is the Direct Marketing Department?,"The Direct Marketing Department is one of the marketing departments, and it has responsibility for all of the direct mail that goes to smokers. You know all of the mail that goes out to adult smokers, they I had responsibility for those programs."
And you did that for several years?,For about two years.
And then you became the director of research or director of youth smoking prevention research?,Yes. 4 Q. And for how long were you in that role?
"And when you talk about litigation support to speak on behalf of the company, you're talking about being asked as you were in this particular instance to serve as a corporate representative speaking on behalf of the company?",Yes.
All right. And you're compensated for the time you spend doing that particular work?,Yes.
"All right. Now how many years total, then, have you worked in market research?","Well, I worked a little bit when I was in college in market research, but we could put that to the side because that was just part-time work. So, in essence, from when I graduated, which was in 1973, 19 early 1974 until 2008, I was I would say, you know, I think we can subtract the two years from the direct Marketing Department. So it's over 35. 4 Q. Okay. Roughly 35 years in market and consumer research?"
"And I think you actually already sort of referenced this. But in as a market researcher, have you ever spoken with adult cigarette smokers?",All the time.
"And over the course of the 30 plus years you were involved in market and consumer research for Philip Morris, approximately how many adult cigarette smokers have you spoken to?","Well, if you count the surveys in terms of questionnaires and questions, it's not like direct interviews. If you think of all the surveys and all the data, it would be hundreds of thousands of consumers of adult smokers."
And can you give us just a little bit of a flavor for the types of surveys or research where you have the occasion to speak with adult cigarette smokers?,"Well, the ones where you speak to people directly, those would be focus groups or one-on-one interviews. And then, in essence, those are projects where you invite adult smokers to come into a conference room or into a facility or you stop them in a shopping mall. And you screen for eligibility to 5 make sure they're over age and they smoke. And you would speak to them face to face and maybe show them some things that are under consideration. And in other cases where it wasn't an in-person interview, there would be surveys written, people, you know, questionnaires are written to get impressions from consumers about what they like, what they don't like, what they're interested in and to get an understanding of them to develop insights in order to be successful with the programs we put in the market."
"Okay. Let's switch gears here for a second. And what I'd like to do is talk to you briefly about why you are here testifying today. Is it your understanding that under under the Rules of Procedure that apply to this case that Mr. Lourie and his attorney, Mr. Bigger, have the right to ask Philip Morris USA to designate a representative to discuss specific issues regarding the company's advertising and marketing?",
And is it your understanding that you were 4 asked by Philip Morris USA to serve as its representative to testify on the topics that were designated by the plaintiff and Mr. Bigger?,"That's my understanding, yes."
And you understand those topics to include the issue of youth smoking and marketing to youth?,Yes.
"All right. The time frame of the subject matter that Mr. Bigger and the plaintiff have designated goes back to the 1940s, does it not?",Yes.
"Tell us just in your own words what experience do you have, hands-on experience to serve as the corporate representative on behalf of Philip Morris to address the topics that have been designated for today's deposition.","Well, all the years of work that I've had at the company give me a firsthand understanding of the company's practices and policies. And because I worked in the marketing organization or the marketing research organization for the bulk of my career, I had was familiar with what went in the market because oftentimes my group was providing feedback on those programs. And so that would be my firsthand experience."
Okay.,"And I knew management. I worked closely and reported in to senior management on marketing issues oftentimes. And then in addition to that, in preparation for today I reviewed the documents that I was asked to look at. But prior to that since I had been involved in speaking as the company requested me to in other cases, I've reviewed many many other documents."
"Let me let me ask you just a few things about what you've just said to sort of get some specific answers from you. So if I understand correctly, are you able based upon your work with the company to provide information based on your firsthand experience from the time you arrived in the company in 1979?","Yes, I am."
Okay. And now is anyone who worked in marketing for Philip Morris from the 1940s or '50s or '60s still around today? 2 A. No.,That's correct.
And have you reviewed many documents that describe those practices?,"Yes, I have. And I've reviewed many of the marketing and media plans, you know, over the years."
"Now for purposes of today's deposition, did 11 the plaintiff designate approximately 40 or documents that the plaintiff and his attorney wanted to discuss with you today?",Yes.
Okay. And you reviewed those documents?,I did.
"To the extent that you were able to locate them, did you review additional documents that relate to the 40 or 42 that the plaintiff designated in an 0 effort to try to put them in an appropriate context within the company and its history?","Yes, I did."
"Let me ask you another question, Miss Bonhomme. The handful of documents that you've discussed with Mr. Bigger, did you locate other documents that discuss whether many of the ideas expressed in those documents were ever actually endorsed or approved or followed up on by more senior people within the company?","Yes, I did."
And did you review those documents for purposes of being able to answer Mr. Bigger's questions or my questions today?,Yes.
"And whether I I don't want to limit it to the documents you reviewed for purposes of today. You have served as a corporate representative for Philip Morris on marketing and advertising issues in other cases, have you not?",Yes.
"And whether it was for today's deposition or those earlier depositions, have you read many many documents that refer to the activities of the Market 4 Research Department and the Marketing Department at Philip Morris?","Yes, I have. I've reviewed many many marketing documents."
"Okay. While we're talking about that particular subject, there was a well, let me back up here and withdraw that. Let's start over here. I want to switch gears with you, and I want to talk generally speaking about Philip Morris fs cigarette brand advertising and marketing. Okay?",Okay.
And then within that I'll probably ask you about some of the specific issues Mr. Bigger asked you about. Who is the target audience for Philip Morris USA cigarette brand advertising and marketing?,Adults who smoke.
Does Philip Morris USA market its cigarette brands to persons under the age of 18?,No.
"Just very generally speaking, what is the goal of Philip Morris USA cigarette brand advertising 0 and marketing?",To communicate to communicate a message about a brand so that adult smokers purchase it.
And does Philip Morris believe or strike 4 that. Does Philip Morris market its cigarette brands to try to influence the brand choices that adult cigarette smokers make?,"Yes, that's an important purpose."
And do you believe that cigarette brand advertising and marketing can influence those decisions that adult smokers make?,"Yes, I do. j"
"Now as you and Mr. Bigger discussed, teenagers under the age of 18 do smoke cigarettes, right?","Yes, some of them do. I"
Some of them do. And has that been going on for many years?,Yes. j
Is Philip Morris the only corporation or entity that had knowledge that some people start smoking under the age of 18?,No. It was not at all. ;
Okay. Was the government aware of that?,Yes. ;
The public health community?,Yes. j
And society in general?,
Now in your mind I just want to make sure this is clear. Is there a distinction in your mind between Philip Morris being aware that some people under the age of 18 start smoking cigarettes on the one hand and on the other whether Philip Morris had a specific intent to advertise and market its cigarette brands to people under the age of 18?,
"And what Can you explain that further for us, please?","Yes. Philip Morris creates marketing programs to bring to market products that would be appealing to adult smokers. So all the research that's done to develop those programs is done with adults. And that's the target audience for Philip Morris brands. So it's what Philip Morris puts into the marketplace that matters. I mean, having knowledge that young people smoke doesn't mean that Philip Morris is going to create programs or initiatives to encourage them to smoke. It's quite the contrary. What Philip Morris does is basically what goes into the marketplace. And if you look at the marketing plans, you can see what goes into the market place and what they sell and how they promote their brands."
Now in all of your experience with Philip Morris have you seen any indication that Philip Morris intended to advertise and market its cigarette brands to people under the age of 18?,"No, not in their marketing programs, no."
All right. Now I want to dive in a little bit more deeply about what you were telling us earlier about kind of the role or function of market research. So what was the function of the Market Research Department at Philip Morris?,"It was to provide information to management or the marketing organization so that they could make better decisions. 0 Q. Okay. Let me see. You earlier you referenced a couple of different sort of things that 2 market research might be focused on. And I just want to make sure I kind of have those down, and I may 4 I'm going to ask you about it. Is one, I think you 5 under you mentioned understanding the marketplace generally speaking?"
"Okay. Another function or, I guess, role, if you will, that you mentioned was and correct me if I'm wrong, but that market research would look into consumers' reactions to advertising campaigns, promotional materials, things that the company might want to introduce into the marketplace?","That would be more consumer research. So within the Marketing Research Department there's a function that's called consumer research, and that was a function I had responsibility for for many years. And that department does quite a diversity of work, but mostly you can bucket into work to help the marketing organization develop what's going into the market. So that, and then they also do some general consumer preference research."
Right. You you told us a moment ago that Philip Morris tests some of its advertising and marketing programs by showing them to consumers before they go into the market place.,"Oh, yeah, yes, uh-huh."
And you mentioned maybe a change to a cigarette pack. But could you give us a specific example of how you might test an advertising or marketing program with consumers before it goes into the marketplace?,"Sure. Sure. If the company was considering a new advertising campaign for one of its brands or bringing sometimes different executions of an existing campaign, we would convene, invite adult smokers to focus groups and show them some of the materials being considered. Sometimes there might be three or four ad campaigns that the company was considering for a particular brand, so we would show people the campaigns, and everyone we interviewed would be an adult smoker and get their reaction, and then that feedback would go back to the marketing organization. And then they might modify some of the advertising based on that feedback or they might eliminate a couple of the campaigns that were being considered. So it's pretty standard work. It's the same technique for considering the new continuity item or a new package design or a new name for a brand that's going to come into the marketplace."
Are you aware of any instance in which Philip Morris tested its advertising or marketing programs with anyone under the age of 18?,. I am n o t .
"Is I thought I heard you say this earlier. You mentioned, if I understood you correctly, that one part of market or consumer research might include understanding consumer preferences generally?",Yes.
From the time you joined the company what was the minimum age of the cigarette smokers who participated in that particular type of research?,Legal age and older.
Was that also true as a general rule before you joined the company?,"Yes, as a general rule, it was. 0 Q. Okay. Now I think Mr. Bigger may have showed you I don't want to I'm not I don't want to misstate the number but a couple of documents from before the time you joined the company showing 4 that Philip Morris on occasion looked into the consumer preferences of people under the age of 18; is that correct?"
"In your experience, in your experience with Philip Morris, was this typical of the company's practices?",It was not. It was rare. ;
Was it consistent with the company's practices from your perspective?,
"The one, there was one in particular that just comes to mind. It was a document, the title of which was The New Competition For Marlboro's Franchise. Do you recall that one?","I remember -- I remember that document, yes. ji"
"From 1974. Do you agree that that's something, that particular research as reflected in that document was something the company shouldn't have done?",They should have not done it. i
And are you here personally to try to defend that particular document?,
"Okay. Now I want to ask you, though, about two things. First, during the same period of time, did you see instances in which Philip Morris rejected suggestions by outside companies to do research with people who were under the age of 18?",Yes.
"Okay. And as a matter of fact, I'm thinking of the Opinion Research Corporation. Mr. Bigger showed you some documents from the Opinion Research Corporation, right?","Yes, he did."
"And the particular study, the teenage study that was referenced in the document from the individual at the opinion research study (sic), did Philip Morris reject the request or the suggestion that they participate in that study?","Yes, they did. 0 Q. Now I also want to ask you focusing, again, on this document, The New Competition For Marlboro's Franchise, that document was forwarded to some folks within the company by Mr. Al Udow on July 25th, 1974. 4 Does that sound about right?"
I could show you the particular document.,I recall it . ji
"But there's also another document dated the very same day, July the 25th of 1974 where that Al Udow wrote to Mr. James Morgan.",I remember that document. ;
"And if I recall correctly, Mr. James Morgan was in charge of the Marlboro brand at that point in time?","Yes, he was."
"That particular document Al Udow talked about well, let me back up. Mr. Bigger talked about a problem that was identified in the, I guess, the slowing of the growth of Marlboro as a brand in about 1974.",Yes.
"And in the memo that Mr. Udow wrote to James Morgan, he made recommendations for things he thought the company, quote, might do to address that problem, right?","Yes, he had some suggestions."
"And you've read that memo carefully, have you not?",I have.
And have you looked into whether or not any of the recommendations that Mr. Udow made in that document were accepted by Mr. Morgan and then incorporated into Philip Morris's advertising and marketing of Marlboro?,
So this is another example of someone making ; a suggestion that was ultimately not followed up or adopted by the company itself?,
"And that's what I wanted to ask you about. Just if we were to pick 1979 or 1980, about how many people worked for Philip Morris generally?","Oh, thousands. I mean, I don't know how i many exactly, but..."
And how many employees would have been in marketing and market research?,Over a hundred.
Okay. And do many Individuals in your experience I'm asking about your experience with other companies and particularly with Philip Morris. In your experience do individual employees make suggestions and come up with ideas about how the company's products ought to be sold or marketed or advertised?,Sure. That's what the company wants. They appreciate suggestions.
"And is every single suggestion that an individual employee makes with respect to how the company's product ought to be advertised, marketed or sold adopted by the company?",Of course not.
"Frankly, in the scheme of things with respect to most of the ideas and suggestions employees 0 come up with, what happens to most of the ideas?",
"Okay. And that last answer, is that based on your personal firsthand experience working at Philip Morris for 30 some odd years?","Yes, it is."
Okay. Mr. Bigger also showed you a number of documents written by Mr. Myron Johnston that discussed smoking rates of people under 18. You recall that?,Yes.
Okay. Did you know Myron Johnston personally when you were employed at Philip Morris?,"I knew him. I did not know him well, but I did know him."
Is Mr. Johnston still employed at Philip Morris USA?,No.
Did he retire many years ago?,"Yes, in the '90s."
Did Myron Johnston work in the Marketing Department at Philip Morris USA?,"No, he worked in Richmond, Virginia."
"Did he have any role in dictating the company's advertisi strategy with respect to the marketing and ng of Marlboro or any other cigarette brand? He did not. Where, where physically was the marketing department located located? the same located? demograph demograph In New York. i back in the 1970s and '80s and '90s? In New York City. \ And where was Mr. Johnston physically In Richmond, Virginia. I Okay. So he wasn't physically located in place where marketing and market research were No. \ You mentioned that Myron Johnston was a er. And, again, briefly explain what a er is. It's someone who studies demographics, so l they study population information. And, for example, \ an exampl e might be a demographer would look at census I information and look at if the U.S. population is i growing a you know, nd if it's growing in what age groups or by, ji in what parts of the country, things of that I type. And then you study other facts and those : analysis of information to provide information to provide insights.",
"Now based on your experience at Philip Morris, why would a demographer like Mr. Johnston be interested in the smoking rates of people under 18?",
You can answer.,Because it would be a way to forecast the size of the industry so the size of the tobacco category going forward. It would be a way to help forecast the size of the Philip Morris brands in the future and --
"And so can you explain why would Philip Morris, why would it be important to Philip Morris to forecast or understand better the size of the cigarette market in five years or ten years down the road?","Same as the reason it's important to almost any large corporation, because they need to create manufacturing centers. They need to lease buildings. They need to hire employees. They need to buy raw materials to produce the products they make. So it's part of the planning process. 4 Q. Okay. And in some of the documents that Mr. Bigger showed you, does Mr. Johnston state that he's interested in the data and this information because of its utility for forecasting?"
"Now I think this point was made pretty clear. But in Mr. Bigger's questions. But Mr. Johnston never conducted his own research at Philip Morris with smokers under the age of 18, did he?","That's correct, he did not."
"Okay. As you pointed out to Mr. Bigger, the data that Mr. Johnston discusses in all the memos that we've talked about here today come from outside sources like the Federal Government and universities and public health authorities, right?",That's correct.
Now who ultimately at Philip Morris set the policy on what the minimum age of the target audience was for Philip Morris's cigarette brand marketing and advertising?,Senior management. 0 Q. Was Mr. Johnston ever senior management at Philip Morris USA?
And based on your experience with the 4 company did Mr. Johnston have any role in setting the company's policy on what the minimum age was for the target audience for its cigarette brand advertising and marketing?,He did not.
"Now let's go back. We mentioned earlier that the time frame of this deposition goes back to the 1940s, right?",Right.
"Mr. Bigger asked you some questions about events that took place, I believe, in either the late 1940s or early 1950s; is that correct?",Yes.
