continuing_examiner,Declarative_Text
Okay. j,"Again, my point is the problem is once you do that, j 0 you're kind of left with something that wasn't what I it was originally. And it's not just from a nicotine | perspective. You can't just get nicotine out. You j Si end up taking a whole bunch of other stuff out along | with it for the ride. 3RD AVENUE NORTH- BIRMINGHAM, AL 35203 -205-397-2397 ^ Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING tx . So, from our perspective, when we've looked into it, that's made it very difficult for us. Does RJR want to take nicotine out of tobacco? We have certainly, from a regulatory perspective, attempted to do that, preparing for potential product standards. And so what we have found and this is why I'm saying it's hard -- is you can end up with a bunch of unusable tobacco because you've kind of beat the hell out of it and it's, turned into kind of mush and not useable. Or when we use certain other techniques, like microwave techniques or supercritical fluid extractions, you endup, like I said, pulling out not just nicotine but a lot of other flavorful components end up coming along for the ride when you do those extractions, so you're left with a very bland, unflavorful (sic) tobacco at the end of the day, which is not terribly consumer friendly, at least from the stuff we've made with it. xs reconsrxrureo. rooacco "" xn reconsrxruroo. rooacco, is the nicotine taken out of it? it is *""""~ wexx, IT xs GxrracreQ wxrn warer unci rne nicotine comes out in the water extract -- most of it. So, yeah, there's a water extract You take the water -- sorry. You take your tobacco particles, you exrracr it wxrn warer. inar puxxs our nxcorxne ro 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING and a whole bunch of other flavor components, and you separate it. Then you make your paper sheet and you concentrate your water extract and you put your extract back on. If you don't put your extract back on, what you end up with is a paper bag which is recon'd. And if you've ever burned or tried to smoke a paper bag, it's not very pleasant. But, when I take the extract and apply it back on where I got it from, it ends up tasting like tobacco, which is. much more pleasant than smoking a paper bag. VIDEOGRAPHER: Four minutes on the tape."
"Okay. Doctor, when we broke to change the tape, we were talking about reconstituted tobacco and the extract that is taken out of reconstituted tobacco. Okay?","Okay. i i ^ . i i i ^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 ^ Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING i y"
"smoking than R.J, Reynolds Tobacco Company?",
"I mean, R.J, Reynolds has studied all the same studies that public health has seen, correct? j i\. 'in general, xor m e mosr, parr, yean*",
Okay.,I would say we would know more from a manufacturing and a design perspective than public health would.
Okay. So I'm going to sort of switch gears on you and we're going to go into some of the more historic things. Okay?,Okay.
"We talked briefly early today about what the TIRC, the CTR, and TI, what they're were and when they were created; do you remember that testimony?",Yes.
"And you're familiar with the TIRC, right? i o A i e s *",
"And you're familiar with why the TIRC was created, correct?","In general, yeah."
Why was the TIRC created?,"Because there was a number of epidemiological as well as animal studies that had come out in the 1950's that started to raise questions about whether or not cigarette smoking was associated with causal relationships to disease, specifically lung cancer* 3RD AVENUE NORTH-BIRMINGHAM, AL 35203-205-397-2397 ! -sj CD CO CD Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING i- H A, The tobacco companies agreed that they wanted to have research conducted in the area of smoke and health related research and all the tobacco companies along with tobacco growers and a number of other groups agreed to form the TIRC to help distribute funds to conduct that kind of research and to have reputable scientific individuals serve on the TIRC as both advisory and where that kind of money was going to be spent from a research perspective. Was the TIRC created to be the public voice of the tobacco industry? To a certain degree it was, yeah, and certainly that's what the Tobacco Institute became was really the public voice representative trade association for. tobacco. Did all the major manufacturers participate in the creation, of the TIRC? To my knowledge, I believe that is correct. Now, not all of them stayed with it for the whole duration, but, yes, I believe that is correct. The U.S. The U.S. tobacco manufacturers? U.S. tobacco manufacturers, yes. **> And R.J. Reynolds participated in the creation of the TIRC? They did. ro 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 N Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING s\. Okay. And R.J. Reynolds helped fund the TIRC, correct? That's my understanding. And R.J. Reynolds helped guide the TIRC's initiatives, correct?"
H,
"TIRC. Pago So is it a fair characterization to say that the TI was the <T""\Jh 4. k/i lw 1 1 \s public voice of the tobacco industry?","The CTR, as it turned in, was the grant and aid foundation that granted moneys for research."
"And were both the TI and the CTR funded .by, or at least partially funded by, R.J. Reynolds Tobacco Company? / i\, inar s my unciersL.eno.ing, yes.",
How was the funding of the TI and the CTR split up between the tobacco industry?,"I don't know if they split it up directly related to market share, but it certainly had something to do <J # W Am L* 11 L- 11 K O -I* -*-*t v L/ *!* L-11 *w N-* \J111k*/ CI 11 V C* L* L- *L* CI w k*i CI X* w *X Ly L I J CI X> 0> L* any given time."
"So the bigger the market share, the more the company would have contributed to both the TI and the CTR?","I think that's my understanding, yeah. At least that's what I remember. Like I said, it's been a while since I've thought about TIRC or CTR and all that stuff, but it's my understanding that the larger companies, like American, I think, for instance, would have had a larger contribution at that time than, say, Philip Morris or Reynolds."
"And your understanding comes from your -- at least in part, your year of reviewing internal tobacco company documents and the years you have spent testifying and 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 -s| O CO Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 http://unciersL.eno.ing FREEDOM COURT REPORTING A /A reviewing documents to testify, correct? MR, KREINER: Object to the form.","Page 101 J documents. I can't remember the number, but it was a J i number of boxes of documents wewent through. | were mey *-*""* xou mean liKe rive or six oanKers ooxes i full of documents? \ Probably more than that, but, yeah, a lot. \ Then the Duval County deposition you had \ authenticated, you said, a number of these documents, correct? \"
"As a result of these studies that were coming out, did the tobacco companies get together and formulate a plan moving forward?",
Okay. Would that have been what this meeting -- would that have been at the end of 1953?,"I mean, there's a -- I'm sure there was a -- I know of the meeting you're talking about, so, yes, there was a meeting at that time when a bunch of folks formulated what ended up to be what would be the TIRC J 1 1 1 , i u l l i l l a f l "" O O i"
Was the tobacco industry involved with Hill+Knowlton prior to 1953?,"I'm sure somebody was, yeah. Hill+Knowlton was a public relations firm, so I'm sure a number of large companies utilized Hill+Knowlton."
Was Hill+Knowlton utilized by the tobacco companies after 1953?,"I believe so, if my memory serves, in terms of that document review. There were a number of Hill+Knowlton documents I had to go through and look at."
"Was it your understanding as a result of the meeting 3RD AVENUE NORTH-BIRMINGHAM, AL 35203-205-397-2397 j it Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING",
"""- in 1953, it led to the creation of the TIRC and a strong relationship with Hill+Knowlton?","Probably did, I would suspect. But, I don't know | that for a fact. Again, I would have to look at j documents. If you've got a document that you want me j to look at that would make that suggestion, I'm happy | to take a peek at that. |"
Sure. f,"There was Like I said, at Duval County, there was | a lot of documents, there were a lot of Hill+Knowlton j documents, there were payments made, I remember | 'i seeing those documents, but trying to connect, to | is know, to answer directly your question, I can't tell J you as fact. | I"
"Okay. And you're familiar with the Frank Statement f to Smokers, correct? . ' f i",Sure. ' I
"Who created the Frank Statement to Smokers? f A, Again, I think that came out of that meeting that was | had by the -- by all the folks that signed the Frank | I Si Statement. There was a meeting that occurred, f ' ' I Hill+Knowlton was involved in that meeting, f documented that meeting, minuted that meeting, Who J crafted it, the actual language that went out in the j 3 papers, I can't remember who that would have been. j But, the people that signed it signed it, . I",
"And the Frank Statement represented i,,,i,|,..,ii|:|i.. f,i,|,,i,,.,,,^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING r\ -\ the -- represented RJR's public position on smoking and health, correct? '",
"Well, it was an advertisement for the American public to see, correct?","Well, it was an advertisement for whoever bought a paper to see, yeah."
"Right. And part of who was buying papers -- or the only ones buying the papers were the American public, JL J \A II L * I wouldn't make that assertion. I'm pretty sure everybody buys papers, in all countries at that time. But, certainly, anybody that bought the paper that day that that ad was in there could have potentially Was the Frank Statement circulated outside of the United states, to your knowledge? I don't know. Do you know who The meeting between the heads of the tobacco companies took place at The Plaza Hotel in New York City, correct? I believe that's correct. Were all the heads of the tobacco companies present O, L Li 1 JL wL O HI vl* d* L. Tt 11 VJ * I believe I think so, Again, it's been a long A Q A Q A Q A 'ITOSSWiMiBBW^^^ 3RD AVENUE NORTH BIRMINGHAM, AL 35203 - 205-397-2397 IN) CO Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING n . Pago time since I've looked at those kinds of documents, but I believe that's correct. Who is Paul Hahn, to your knowledge? He was one of the heads. I can't remember if it was -- if Hahn was the head of American or -- I think he might have been head of American at that time. I uninK Tznans correct. :.. Okay. Fair enough. Do you know if... R.J. Reynolds, American, Brown & Williamson, Philip Morris and Lorillard all participated in the TIRC? They all did for a time. Now, I believe American did not for a period of time, or Lorillard for -- well, I can't remember now. One of the big companies for a period of time stepped away from TIRC or CTR and TI for a time. But, at its inception, I believe all the majors were involved. Okay. Did all the major tobacco companies participate in the TI and the CTR? /\gain, same answer. - Okay. There was a time when certain companies did not, and it was for a few years or a period of ten years or something like that, but the organization as a whole went from 1954 to 1998 so it was almost a 50-year history there. 3RD AVENUE NORTH BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING r\ A Page 109 I Right. But, over that 50-year history, all the major tobacco companies participated in the CTR and the TI j except for maybe a couple of years of one of the companies; is that your testimony? That's my memory. j i Okay. Did the CTR fund research? - i Lots of research, yes. | Did they ever fund any research that linked smoking and cigarettes?",
"And if they stayed with that definition today, would they still say that there is no cause and effect?",
Okay.,"Certainly today, I don't know what the TI's position 1,1,1,1 M,l.l,l,l,l,l,l,l,l,L,l,l,l,l,l,l,l,i|^F^^^^^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING today would be. Certainly, we have more information than they did, certainly, in the 60fs or even when it was dissolved in the 9Q's, but I don't know what their position would be today. There's certainly a lot more -- and I don't know if you know this or not, but there is certainly more mechanistic understanding 7 of cancer formation today than there was even in when TI was dissolved."
Did TI use epidemiology at all? |,"Sure. They -- Certainly, all the tobacco companies in TI recognized that there was a statistical association between cigarette smoking and specifically lung cancer. But, it's, again, a very different proposition to suggest that statistical | association alone was enough to prove cause and effect. And that's, in essence, what the TI was saying."
Can we prove cause and effect today under the old standard of the TI? ',
"Right. Well, for you, today. When was there enough proof that cigarette smoking caused lung cancer?",
"When you were growing up, did you know more about cigarette smoking than R.J. Reynolds Tobacco Company?","I couldn't imagine that I would. But I'm not a scientist either -- I didn't grow up as a scientist. So that's a very different question. So, who are you talking to? Are we talking about me as a person, growing up, or are we talking about scientific or scientists; that's very different."
"Well, when you were growing up, what was R.J, Reynolds Tobacco Company's position on whether or not smoking causes lung cancer?","Well, their position would have been that there's an association between cigarette smoking and disease, 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Pago but you couldn't necessarily establish that it was a cause and effect relationship because there wasn't enough information. Now, as time moved on and as I grew up, that position would have changed slightly. Certainly, by the late 80's and early 90's, R.J. Reynolds would have suggested that it was a significant risk factor in the development of disease, which, in fact, it is. And, in fact, if you want to break it down scientifically, what you can really say about smoking and health is that it is a significant risk factor in the development of certain diseases. Now, it's not like getting the flu."
"So, you're saying that today we can't say whether or not smoking causes lung cancer?",
What are you saying?,"I'm saying, scientifically, when you look at the information, that it is a significant risk factor in the development of those diseases. That doesn't mean you're going to get that disease. There's a lot of smokers out there that never get those diseases so that's why I say it's not like getting the flu. If 'iW'ESS'SSviggBvfly^^ 3RD AVENUE NORTH BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING . A Page 118 j you get the flu, you have the influenza virus, always, 100 percent of the time, if you get a cold, j you have the rhinovirus, 100 percent of the time. J r \ i 1 \ X 1 1 j r \ J K X V J t > L * k ^ C t l X v ^ v ^ X r V * * * * * * 1 1 C * V t ? t ^ C t 4 t ^ w J L # J L J L v j 1 1 U There's no question. But not every smoker gets \ cancer. i l Right. . j Not every smoker gets COPD, not every smoker gets a j enronic disease mar, is associateo. wirn s mo King. i And not every individual gets the flu, correct? No, but every individual that does get the flu has j the flu virus. That's the difference. Well, and that would be the same thing that every individual that gets cancer has cancer, right? Yeah."
"Page 120 j CI 11 \J> f l U i LrXlw 1 u L v I \J / 1*/ X. * JmKA JL (A. Im l u 11 vJ L. :""; a corporate representative in this | deposition today. He was not noticed as a corporate rep. He is here as an .j expert and a fact witness. ! THEWiTNESS: I think certainly it is \ important to have public health j interests.at mind for any corporation, j whether it be Reynolds or any other j corporation. ! That would have been true in the 50's, 60's, 70's, j 80 fs, 90's, and today, correct?",> Page 123 j suppose? . | Correct. j And was one of the statements in the Frank Statement | that the tobacco companies would put the interests of the public ahead of their own interests? j
Was the purpose of the TI to inform the public --,
"Okay, on all matters that involved the tobacco company?","I don't know about all matters, but certainly most matters, yeah. I mean, they were a trade organization that spoke for the companies."
"And they would have spoke for the companies regarding public health, correct? . .",
Did they make comments about the addictiveness of cigarettes?,"Well, I guess only when it became a concern after 1988. But, I don't recall any addictiveness 3RD AVENUE NORTH BIRMINGHAM, AL 35203 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING JTi Pago discussions prior to '88. What is R.J, ReynoldsV definition of addiction? I don't know that we have one. What is your definition of addiction? Personally, as a scientist? Yeah, personally as a scientist? Well, I think there's a lot of different terms for it. Something that's difficult to stop doing. That's one, certainly, definition of it. I mean, I know there's ""clinical or psychological"" definitions and I know of them, obviously. But, for me, simple terms, something that's difficult to stop doing. Do you believe that while you smoked traditional cigarettes you were addicted to the cigarettes? Possibly. Do you believe that today you're addicted to the nicoLins in DIIUS nu vubu. Could be. Do you have withdrawal symptoms if you quit using those two products? Not that I recall. When I quit smoking in '04, I don't remember having a heavy withdrawal or anything like that. Did you immediately when you quit smoking take up another product that uses nicotine? iji,iiijiiiiiiii 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING A, i\ Some months later, I did. But, I quit, and then I \ . went and started looking started using some . . : ji prototype dissolvable products. . | i m sorry i yot on trdCK tnsrs* i ' . - ; That's all right. We were talking about the TI and ended up -- so I j want to get back to the TI. Okay? j i Okay. j So the purpose of the TI, to your knowledge, was to j inform the public, correct?"
Do those ads differentiate between a tobacco user and a non tobacco user?,"Obviously, in a magazine ad, you couldn't make that differentiation. What you do and what rules that R.J. Reynolds follows are those that are in the master settlement agreement, where surveys are conducted on I think at least an annual basis on what J the adult readership is of a particular magazine that we would advertise. And those criteria are that the adult readership has to be, I believe/ 85 percent JL iL CA KX \X JL L- JL V2 CI VA v i K? 11 JL JL/ KJ t? X. \J JL v3 W v? \** \J \X JL \X CI >-A V w X L. !. O N5 J L i l U11 CI t/ magazine. So we follow those guidelines."
"Part of the master settlement agreement is not that you just market to users of tobacco, correct?",
"Well, wouldn't you run out of new consumers if you d i d n ' t a d v e r t i s e ? 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 j N CO Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING","I don't know if you would run out of n e w I mean, there's over 45 million smokers in this country. It's a pretty large market. We have a small percent -- well, we have a percentage of that in our portfolio. We would prefer to have more of that percentage of people who continue to use tobacco products. And that's what our marketing and our advertising is aimed at."
Does R.J. Reynolds Tobacco Company market and advertise e-cigarettes?.,"We do. We have actually television commercials, as well. Q, Okay, And do children -~ well, I don't want to use the word children. Do adolescents use e-cigarettes?"
"But, you're aware that a certain percentage of the population of the youth population is using 1* M *Z* >w* JL vj (3* JL v-* L- L- vC> O *",
Are you aware that over the last two or three years that youth segment using e-cigarettes has grown dramatically?,
"What has RJR, or what has R,J. Reynolds done to prevent use from using e-cigarettes?","We have supported legislation for all the states for ?i?ii;Lj; ?A-?-?- ??-?-;- ??-?-;- UJ>S! ! -;-?-y; n;igi w -hi.!i'* B;L;;.; n ;u;i?-?i ??-*J!-ii',,J-y*'-w-?i*~; it-'-*'w i-?-*-*1- f-*-?i*!i ;g-?-?- w-?-?! -;u?-??-!-s-?-i-!!-i!-?-J j-g-f?-!-!!-; - ;-*.*--'- M-;-J- S-J-S-I- ? -H-M -!-i-i -t-*-;-s -j-g-j-ss *-;-*-J-?-J-!-J- M-S-J- ?-i?4s-i> i i-;-?-i -!-i-s -?J WTg-*-gg{gg5yygs?gggBgP!gg-pg?-*-r-?-gg-?~! -?-!-?-? -s-s-;-?-!- !-f- S-M-S-! !>?!-?- 5-?-?-?- ss-?- ?-w-ii y-f-i-i -!-?g?: f\ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 http://aoioi.es FREEDOM COURT REPORTING age verification and age restrictions for the purchase of e-cigarettes, which is not necessarily the case in every state. We supported those efforts, We also support possession laws being passed by states, so if youth are found to be :in possession of . tobacco products that there is a penalty for that. We obviously put our cigarettes in gas and convenience outlets that support the We Card Program. We specifically state that these products are adult consumer products and they should be sold the same way that cigarettes should be sold, which is through age verification. So those are the types of measures that we have looked at and implemented,"
Are you aware that the usage of e-cigarettes for under age youth has tripled in the last three years?,"I believe we just talked about that. Again, if your base is one, then to triple you need four, and that's what we're talking about here. The bigger concern for me is -- or -- is if the e-cigarette use amongst adolescents has tripled, has the.traditional cigarette dropped in the same manner, because if it were up to me, I would much prefer the thought of an adolescent, if they're going to try a risk-taking behavior, that they would try e-cigarettes as opposed to regular cigarettes. i-wwiww^ f\5 3RD AVENUE NORTH-BIRMINGHAM, AL 35203-205-397-2397 *g CO ro Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Page 139 J"
"But, we don't know what the long term health effects of e-cigarettes are, do we? A, We don't definitively know, but we certainly know an awful lot about what the e-cigarette aerosol looks like and from a scientific perspective it seems that it would most assuredly present less risk than cigarette smoking. _",
"So, I'm going to go back to my question. Are you aware that the e-cigarette market -- or the youth use in the e-cigarette market has tripled over the last three years?",
"In the last CDC report, do you remember what percentage of youth was using e-cigarettes?","I don't, but I do remember it was less than traditional cigarettes."
"What is the percentage of youth using traditional 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING",", Page HO cigarettes? I believe the last numbers I saw from an incidence perspective was somewhere around 11 or 12 percent nave crxeQ. IT. s acr.uai.xy quire a Die lower man adult incidence rates at this point, Is the youth e-cigarette usage above ten percent? I don't know if it is or not. I believe the last thing I read about that/ and certainly some questions I had about incidence rates of e-cigarette use, was : the number of adolescents or youth that actually had used traditional tobacco products and were now using e-cigaretteS/ so there was a switching."
A switching from using traditional cigarettes to e-cigarettes is the report that you saw?,That's what I remember and that's what I'm recalling/ and I believe it was a 60 Minutes news program that actually covered that and talked to kids that -- high school kids -- a high school kid was talked about who smoked cigarettes but now he wasn't smoking cigarettes anymore/ but using e-cigarettes.
"Do you know what the initiation rate for strictly ? d ""* d T /T 3 V* d i i d O 1 G V c U l v j a l c t t c o l D i",I don't.
"Do you know what the initiation rate for traditional c i o a r e t t e s i s ? 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 http://acr.uai.xy FREEDOM COURT REPORTING Page 141 I","I don't. I know the incidence rate, I don't know the initiate -- I don't know if there is an"
what is the incidence rate for traditional cicarettes^,"Currently, adult incidence of tobacco use, I believe, is 18 percent roughly, around 18 percent. For -- The reported adolescent use is south of that. I can't 9 remember the exact number. I want to say it was and a half, maybe 13."
Do you know what the incidence rate for the e-cigarettes is among youth?,"It's less than traditional products, but I don't know j.T wnar trie actual numoer is ."
You're aware -- or are you aware that R.J. Reynolds Tobacco Company testified in 1994 to congress that he didn't believe that smoking was addictive?,
Are you aware that the CEO of R.J. Reynolds Tobacco Company testified to congress in 1994 that smoking cigarettes was not addictive?,
Okay. And was that R.J. Reynolds' definition of addiction at the time?,It was a classical definition. We had no reason and never had disputed that definition when the surgeon general used it in '64. It was only in '88 when the surgeon general decided to have a new definition that there were any questions about it.
Was that R.J. Reynolds' definition of addiction in 1964?,"Yes, they would have agreed with the '64 definition."
"In 1988 when the surgeon general came out and said that smoking was addictive, R.J. Reynolds disagreed with that premise; is that correct?","They did, but for very specific reasons. One was it equated nicotine with drugs of abuse like heroin and cocaine, another interesting aspect of the definition in 1988 is it removed intoxication completely from the definition of an addictive drug, which had always 3RD AVENUE NORTH-BIRMINGHAM, AL 35203-205-397-2397 g Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING jt\ . Page 143 j been a consistent and ongoing part of the criteria ) for many, many decades, but that was removed. I j don't know why. And that's what helped classify j nicotine as an aQQicrive suDStance. bo tne i definition and the boundaries by which that -""j definition and conditions by which that definition is j defined is what changed. Is R.J. Reynolds did not support the surgeon general in ! 1988, did they? *- j"
Is habituation synonymous with addition?,"No, If you've read the '64 surgeon general, he spends almost two chapters on breaking apart the difference between drugs of habituation and drugs of addiction. And that's when the original definition was laid out where I was talking about how there has to be an intoxication associated with drugs of addiction. That is not how nicotine was classified then, even though there were scientists, and had been scientists for decades prior to '64, that said nicotine was addictive, And the surgeon general even quotes in '64 a couple of papers by individuals that classified nicotine as addiction, but decided that it didn't fit that definition. Johnson, I believe, was the name of the -- one of the names of individuals that the surgeon general in '64 quoted who believed that nicotine was addictive,"
"Does well, what is -- Is there only one substance I ro 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 ^ W Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING JrV A in cigarettes that is addictive? Under the current classification, I believe nicotine is the only substance that is considered xo be CI dvJ, JL ta L- JL V "" Do you believe that there is another substance in L i y d l c L L c o LJldt lo flUUlvLXVc. Not that I'm aware of. So nicotine is the only substance in cigarettes that is addictive? That I'm aware of, yes. Does nicotine cause intoxication? Not in the classical sense, it does not, no. I mean, there is physiological effects, but it's not intoxication. You can't smoke a pack of cigarettes in a row and be drunk like you drank a six pack of oeer^ unac s nor reasioie. But, if you smoked a pack of cigarettes all back to back to back, you would not feel well, would you? Well, you might feel ill, but that's not UlLOXlCaLlOn^ IS 1Li Well, I think it depends on your definition of intoxication. Have you ever heard --' vveii, i iiiiiiK r n e ciei.iniL.ion ox inx.oxicax.ion is pretty clear. It's a mind altering state which produces that significant change in how you make l\3 3RD AVENUE NORTH BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 http://ciei.iniL.ion http://inx.oxicax.ion FREEDOM COURT REPORTING A n","t Page 146 j decisions. I don't think being sick and wanting to throw up is intoxication. Are you familiar with the term over-smoked? . \ Not particularly. ! Well cigarettes, do they not bring a person up when -. - , ' ' : they're a little down? j Well, there's physiological effects. I'm not saying that there aren't. I believe there's chemical releases of dopamine and things like that have been j mentioned in the literature, when you smoke \ cigarettes, and nicotine has those effects. But that j is not an intoxicating effect. It is not like if you were to smoke marijuana and be intoxicated with that, it is not as if you drank a bunch of alcohol, it is not the same effect. But, if you were -- And common sense, people know this to be true. If you were stressed, it would calm you down, correct? I don't know if it will or won't. Well, you're a smoker. j -.. i I was. If you were stressed and you smoked a cigarette, did it bring you -- did it relieve your stress or help relieve your stress? 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 ^ o i / Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Page 147 j .-' i A, I don' t know if i t did or not. I t ce r ta in ly d idn ' t J . ' . . ' ' I solve any problems. j"
Well -- |,"I mean, it didn't make me stop thinking about my f stressful situation. I can imagine using hard drugs j would allow you to escape yourself. ThatVs not what! . J . . - . . s nicotine does in any way, ! .Q. They don't get rid of your problems either, do they? | 9 A. No, but they don't the nicotine certainly doesn't make you escape yourself, like other drugs would. I Q, Now, you said nicotine attaches to the receptors of | the brain; is that correct? |"
Okay. So when a person - How quickly do these j nicotinic receptors of the brain react after someone I takes.a puff of a cigarette? |,"I don't know the kinetics of that, although I'm I confident it's been studied, but I don't know that I l"
"Is it fairly immediate? \ A, I believe it's pretty quick, yes. f ?gs!Tg?.;.;-!-!-|.^^^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING",
"Okay. And these receptors in the brain, I believe you testified earlier, they release dopamine, ~J \> \J 1 1 ""b L","I believe that is correct, yes, and perhaps other enzymes and chemicals."
What does the release of dopamine have on the effect . of somebody's brain? Strike that. What does the effect of dopamine.have on a person?,"Again, I'm not a pharmacologist, but I believe it's a -- there's a pleasure reaction."
"So if someone was to smoke a cigarette and enjoy it, ' it would be because of this release of dopamine in their brain, correct?","Well, possibly. I don't know that that's necessarily all there is to it because I certainly know that there have been studies where people derive pleasure from smoking cigarettes that don't contain any nicotine, so I don't know that that's the sole reason. There may be something with smoking that is pleasurable in and of itself. Q, Can you identify anything specifically, other than the release of dopamine in the brain, as a reason somebody would enjoy smoking?"
Were any of these studies done of nonsmokers? |,"No, I believe they were all smokers and looking to I see what kind of craving relief they would have, so f that's a way of measuring, or attempting to measure | somebody who has already been using tobacco products, f may or may not be addicted, but they're typically j u s e r s , I ,w+w,w.;,w,w.u,|^^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING But an oral product Is an entirely different method of receiving the nicotine than an inhalent, correct? Well, it's a weix, you saio. m e lozenges go mrougn m e xiyer, DUX. if you inhale, it goes through your lung? Correct, it goes -- So, when you inhale, it goes through your lung, it goes through the arterial blood, which goes to the brain faster. If you get it through your buccal membranes in.your mouth or skin, which would be your dermal membranes for a patch, it goes through veinous blood, which does travel through the liver, and what that means is it doesn't get into your blood stream as quickly as arterial blood. But, that doesn't mean it's not there, it still reaches your brain. So there is a big difference when somebody uses well, I think it's quite interesting and telling when somebody says they have better craving relief from a cigarette that doesn't contain any nicotine, versus chewing on nicotine containing gum. L \f 1 1 ml* 11 xw. i* L- O vw v? ! \r C* J~ 4 4 -4* V * w J V w C3 JL JL JL. 4 1 NJ It is. Give me just a second. Nicotine in cigarettes well, let me strike that. Does the nicotine in the lozenges affect the ii|ln;|ii|i|.|N|ii|i|i|i|i|ii^ ro 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING nicotine receptors in the brain in the same way that smoking traditional cigarettes affects the nicotine receptors in a person's brain?"
Why don't the denicotinized cigaret tes s e l l on the j market? |,"Well, because when you take the nicotine out, I think j as I mentioned before, during the extraction process f you're removing not just the nicotine, no matter how J careful or precise you try to be. And what that does J f. is that certainly takes away the flavor attributes of I the tobacco in and of itself and, therefore, those j , . 'i cigarettes don't taste very good. Now, that's not to f say that somebody, and maybe Reynolds, one day might | be able to make a cigarette that is denicotinized j that is consumer acceptable, but in our minds it 'I I 13 hasn't been done yet, '.. . j Q, So the reason R.J. Reynolds doesn't make a J ij denicotinized cigarette is because it can't --'it f won't sell in the marketplace? J"
