question,answer,Declarative_Text
"But you haven't forgotten all of it, right?","I guess not, no. \",
And you get paid a salary by R.J. Reynolds?,"I do, yes. United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Q A What is your current salary? I believe it is PERSONAL/CONFIDENTIAL MATERIAL REDACTED",
"And in add i t ion to a s a l a r y you a l so a re given a bonus by R.J . Reynolds? A Q A Well, yes. I qualify for a bonus, yes. In 2011 your bonus PERSONAL/CONFIDENTIAL MATERIAL REDACTED That's probably about right, yes. What was it in 2012? I n 2 012 PERSONAL/CONFIDENTIAL MATERIAL REDACTED You know, I don't -- I haven't memorized it, but it was.",,
"That's a good estimate. JL KJr CX O Lr f **J y I l l y K* CX L U * JL \*X L1 CX V C* L* \*J JL KJ KJ JV x*J C * w JV CX L* 1IL y X. \~ v** K*J *-, v* O *",,
And what do you - what is your expectation of what your bonus is going to be in 2013?,"You know, I don't know. I know what I know what the qualifications are. This year the annual bonus U U v U i l v W*?L>-l - LLLCA \*> Km* 1 w I S PERSONAL/CONFIDENTIAL MATERIAL REDACTED my annual salary, is what I would qualify for if the company, you know, hits all its numbers and we meet all our goals and my performance is good and all that. So that's what the annual bonus is for somebody at my level.",
"on PERSONAL/CONFIDENTIAL MATERIAL REDACTED top of yoi ge jWMWiWiWWiMWMMWMHMHW^^ o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 part on the growth and success of the company, correct?","Yes, in general. But also there's a personal component to it as well. I mean, I have to do my job, but, yeah.",
Sure. And you own stock in the company as well?,I do.,
And you've acquired stock since joining the company in 2004?,"No. Well, some, yes. Because there is -- through the 401 (k) plan I have RAI common stock. I don't really keep track of those shares, but individual shares since '08.",
"The bulk of your the bulk of your -- the stock that you own has been acquired since 2008, right? The vast majority of it.","The vast majority of it, yes.",
"A n d y o u own PERSONAL/CONFIDENTIAL MATERIAL REDACTED i criiriK i t s prooaory nigner now, OUL . . . l i t t l e PERSONAL/CONFIDENTIAL MATERIAL REDACTED I don't have the exact number but it s about that",,
And I think about a year or so ago you estimated that stock to ppDgQMAi /QONFIDENTIAL MATERIAL REDACTED r\ Yeah. That's right. WIWTO&MWWSW^iTOIWfflfflffliW^ MWSWWfflWMEW! CO -si Ol o en CO United Reporting. Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221,,
Yes? |,Yes. It's -- right now I believe the stock price is somewhere around $48 a share.,
"As of 1984, would you agree that you were f convinced that there was sufficient medical and scientific evidence to conclude that cigarette smoking $ was a cause of lung cancer and other fatal diseases?",Me personally?,
Yes.,"As a -- yeah, I think I was -- I don't know | about the part about sufficient medical proof, but, I ! mean, I just had always thought and had been taught Ol -si tn o Oi United Reporting, Inc. ""^ Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 that, that it was dangerous and it caused disease. So I never really questioned that.",
"You believed it, though, in 1984, right?","I did, yeah. I mean, I had no reason to doubt D X L * / I 1 CgJ *",
"Okay. And when you joined Brown & Williamson of lung cancer, correct?","I would say so, yeah.",
"And in 1999, had Brown & Williamson publicly stated that it was their corporate position that cigarette smoking was a cause of lung cancer?","In '99, I don't know if they had made a public pronouncement, per se, but certainly when I interviewed there in '99 in April or March of that year, I was struck that that -- that that seemed to be what their position was, certainly the people I talked to.",
"My question to you was, in 1999 when you began work at Brown & Williamson, was the company's public -- corporate position that cigarette smoking was a cause of -- was proven, scientifically and medically proven, other fatal diseases?","For Brown & Williamson I don't know if it was 'JMWKHSStWMITOMil^WM^ Ol -A. Or United Reporting, Inc. ^ QS4-S2S-''2''1 Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 '99 or 2000 when they had that position, it was right at that time frame, so I don't know. It may have been, it may not have been. But it was right in that -- right in that time frame for Brown & Williamson.",
"Do you know based on all the work that you've done in preparing for and testifying in litigation, was that Brown & Williamson's position in 1998 that there had been scientifically and medically established proof that cigarette smokinq was a cause of lunq cancer and other fatal diseases?","In '98? I don't know. I think Brown and Williamson's position would have been that cigarette factor in the development of those diseases, so it wouldn't have been as clearcut as a cause of disease.",
"My question to you was: In 1998, was it the position of Brown & Williamson that cigarette smoking had been scientifically and medically proven to be a cause of lung cancer and other fatal diseases?","I'm sorry, I thought I'd answered your corporate position at that point.",
"Okay. And do you know if that was their en United Reporting, Inc. o Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 corporate position, that cigarette smoking had been proven to be a cause of lung cancer and other fatal diseases in 1984?",I would say that would not have been their position.,
Do you know if that was the position of the R.J. Reynolds Tobacco Company in 1984?,That would not have been their position.,
Do you know if that was the position of the R.J. Reynolds Tobacco Company or the Brown & Williamson Tobacco Company in 1994?,"In 1994, no, that would not have been their exact position, no.",
"In any of the decades prior to 2000 given what that you're thinking that both companies publicly stated JL i Ltiai cigarette smoKing caused was a cause or lung cancer, but prior to ~~ any decade prior to 2000, was that the position of either Brown & Williamson, the American Tobacco Company or R.J. Reynolds, that cigarette smoking had been proven to be the cause -- strike that. Bad question. Too long. Prior to 2000, was it the position -- corporate position of Brown & Williamson, American Tobacco or R.J. Reynolds Tobacco Company that cigarette Tl&SBffiSHBggSBffHTOyWWTOTTOTigff^BT!^^ United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 smoking had been sufficiently proven to be the cause of cL* JL. H Jl 1 LJ SWJ- d 1 1 v_f- Cf X. C A 1 X Vwi. Vw' L^ 1 1 \3> i JL C I L- G JL v^t JL O w CL O vl* O","Again, with regard to Brown & Williamson/American it might have been around '99, but j it wouio. nave oeen J-QJ.. jxeynoiois l umnK it was rignu at 2000, so my answer would be, no, their position would not have been the same as what you just stated prior to o that.",
And when did R.J. Reynolds Tobacco Company publicly admit that cigarette smoking was addictive?,"Again, I believe the time frame would have been around the year 2000.",
"Prior to the year 2000, did the R.J. Reynolds Tobacco Company publicly admit that cigarette smoking was addictive?","Prior to that the company's position would 17 have been that which was consistent with the definition, so the answer to that is no.",
"The question was, prior to 2000, was it R.J. Reynolds' public position that cigarette smoking was addictive?",,
Yes or no?,"The answer is no, that was not their position. ^ ^ y ^ ^ ^ United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 T",
Okay. Prior to 2000 was it the position of \ Brown & Williamson that cigarette smoking was addictive? J,"Again, the same type of position, would have \ been no. They would have been in -- said that the '64 f definition was consistent with their position. \",
"Prior to the year 2000, was it the public | corporate position of Brown & Williamson that cigarette I smoking was addictive?","Prior to 2000, no. That was not their [ position.",
Would you characterize R.J. Reynolds Tobacco | Company as being forthright with the American public | regarding the health hazards associated with smoking in the 1960s?,"I would say in general, yes.",
Would the same be true for Brown & Williamson? \,"I would think so, yes. \",
And would the same be true for the American Tobacco Company? \,,
"You understand what I mean by forthright, right?",I think so.,
"Okay. And was R.J. Reynolds, American Tobacco and Brown & Williamson forthright with the American public health agencies in the 1960s",Yes.,
"And would that be true for the decades that followed the 1970s, '80s, '90s, 2000s?","Yeah, I would say so, yes.",
"All right. This wouldn't be the first time that you've testified as a -- in your capacity as a corporate representative regarding whether or not the companies that we've been discussing were honest and forthright with the American public or American public X J, KZZ CI <JMM L 1 i. CX J vZ' 11 v L W- O N*/ v w* -1- v C. X. J~ V|J L*JL i>3 V-J. \Z* x** CL \JL *3* C? r k* v-/ J X. vZi* ***- L","Perhaps, you know",
"You've testified in that area before, correct?","Perhaps in Duval, yeah, I think we may have covered that topic, yes.",
Did you testify about those subject matters in the Cohen case in West Palm Beach?,It's possible.,
"Did you testify in those matters in the Hughes case in California, whether or not R.J. Reynolds and Brown & Williamson were forthright with the American public regarding the health risks related to smoking over various decades?","It's -- it's possible. Are you asking me whether or not I have an eidetic memory and that I remember everything that I've testified to in every o United Reporting, Inc. C& Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 X TX X o Page 69 j case? :",
I didn't |,Because that -- I cannot quote my testimony \ from individual cases. [,
"Okay. You would agree with me that I didn't ask you if you had an eidetic memory, right? \","No, we --",
"The Cohen case was only within the last year or so, right? j","Honestly, I don't know.",
So there are things that may have occurred \ within just the just the last year or so that are not easily -- easy for you to recall related to your -- to | the work that you've done in litigation? \,"No. The -- I don't know specific cases, what I may have or may not have testified to with regard to \ subject matter. The subject matter is generally the I same in most cases, but not in all. |",
"Okay. And that's true even though you may j m o . , ro United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Page 70 I have testified in a case say say within the last year? o jyirv. JLr\J.xir\Li U D j s c c i o n co n o r m .",,
Not having the ability to specifically recall the different subjects that you talked about in that,"You asked me a very specific question about whether or not I was asked about whether the companies were forthright and honest in the Cohen case, so I was thinking of that specific case.",
Right.,"In general, the general subject matter of each of these cases is the same.",
"But my question is: It would be difficult for you to remember specific subjects that came up in a specific case regardless of whether it was a year ago or five years ago, am I correct?","No, it would -- I cannot answer specific questions about specific I can't nail down specific questions like, Were the companies forthright and honest in the Cohen case? The subject matter is always the same.",
"Okay. So back to my original question: Talking about whether or not R.J. Reynolds was being honest with the public regarding their positions on WffHJM^HW^iWWWMW^W^^ I en o O) United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 health risks related to smoking in the '60s or any time \ period is not something that is new to you as far as | beinq questioned about, correct?","I believe I answered your question before and I said yes, I have been asked that before.",
"R.J. Reynolds designed the cigarettes that they manufactured and sold in the 1960s to be inhaled by \ L* 11 vlr L4 O \Z* X. f Vw \J X, JL \J> L* L-","They were not designed that way, no.",
"Okay. R.J. Reynolds designed Doral Menthol [ Lights to be inhaled by the user of those cigarettes in ; the 1990s and 2000s, correct?","Again, no cigarettes are not designed to be \ inhaled, they're designed to be smoked.",
"Okay. R.J. Reynolds designed Salem, Salem \ Lights, Kool, Kool Lights, Winston and Winston Lights to be inhaled by the smoker in the '60s, '70s, '80s '90s [ and into the 2000s, correct?","Again, no. Cigarettes are designed to be | smoked. Obviously Reynolds knows that lots of people inhale but they were not designed for that necessarily.",
"And the distinction between being smoked and being inhaled is drawing the smoke into your mouth as en CO O) United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 opposed to drawing which is smoked, as opposed to being inhaled which is drawing the smoke further into your throat and into the lungs, correct?","I would say so. Inhalation is a two-step process. One would puff, there's a hold and then it is are inhaled. Many, many smokers inhale. o +-Vici\/ rn f ln i i ' f f l r ' t ' nTPr i sn r i *""> o ""I H i n t h P* l^f^D*^ t o In P* .ndr i i f t i y p to the smoker, correct?",
"R.J. Reynolds designed the cigarettes they J manufactured and sold in the ly /Us to be addictive to the user, correct?","No. f\ D R .T R o \ / n o l H Q H O C : i r f n o H f h o r i i7a""ro+"" hoc* +- Vi cs v D y K.U. neynoias aesignea trie c i g a r e t t e s tney manufactured and sold in the 1980s to be addictive to the user, correct?",
"R.J. Reynolds designed the cigarettes they the user, correct?",No.,
"R.J. Reynolds designed the cigarettes they manufactured and sold in the 2000s to be addictive to WJWiWMiWSWWMHMMHWWJMM CO (Jl o CJ1 United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 the user, correct? |","They were not designed to be addictive, no. f",
"R.J. Reynolds designed the cigarettes that | they manufactured and sold in the 1970s to be inhaled by f the smoker, correct? |",,
"R.J. Reynolds designed the cigarettes that they manufactured and sold in the 1980s to be inhaled by the smoker, correct? |","Same answer as to the '70s, that answer is no.",
Would your answer be the same as to the '90s I and the 2000s? j,"It would. Certainly Reynolds recognizes that j cigarette smokers inhale, but they are not designed j necessarily for that. \",
"But the question is specifically, did R.J. Reynolds design their cigarettes that they manufactured j and sold from the 1960s unto -- until into the 2000s to be inhaled by the user, yes or no?","Again, the answer is no. They're not designed j < * ! > \ & * k w 1 ! C f 4 > V w s ? P "" "" w V M ' J L . < J W * J U V W * W L - J U J L y V * * - w > * * w * % . / ' * - 4 X X - J * * * v ^ L f X X V M > - K y \ * * X X C A V J L , V * / J L *",
"Okay. R.J. Reynolds designed Doral Menthol cn CO Ol o United Reporting, Inc. O) Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Page 74 j Lights to be addictive to the smoker in the 1990s and the 2000s, correct? j",No.,
"When R.J. Reynolds first designed, marketed and sold Doral Menthol Lights, it was designed to be addictive to the smoker, correct? \",It was not.,
"When R.J. Reynolds designed Salem, Salem Lights, Kool, Kool Lights, Winston and Winston Lights, they designed them to be addictive to the user, correct?",NO. |,
"R.J. Reynolds designed the cigarettes that they manufactured and sold in the 1960s to rapidly deliver nicotine to the brain of the smoker, correct? j","No, they did not.",
R.J. Reynolds designed the cigarettes they manufactured and sold in the 1970s did R.J. Reynolds \ design the cigarettes that they manufactured and sold in j the 1970s to rapidly deliver nicotine to the brain of the smoker?,No. |,
"Did R.J. Reynolds design their cigarettes that j they manufactured and sold in the 1980s to rapidly deliver nicotine to the brain of the user? Ol o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221","No, they did not. And I would also --",
"I just want you to answer my question. It's a yes or no, did they design it that way.",,
"The answer was no, right?",It was no and I was --,
Okay. Go ahead. \,"And all I was going to say was methods to measure rapid absorption of nicotine to the brain did [ not exist until about 2010. MR, McPHARLIN: kay. That's not exactly j responsive, but whatever. j",
Did R.J. Reynolds design the cigarettes that i i-hey m a n uf a c t u r e c^ anc^ s o ] _ ^ j_n the 1980s to rapidly \ deliver nicotine to the brain of the smoker? |,"No, Same answer as I just gave.",
Did R.J. Reynolds design the cigarettes that \ they manufactured and sold in the 1990s to rapidly \ deliver nicotine to the brain of the user? j,"Answer is no, same answer as the previous i*~1 CJ #"""" ""3 f| GDk",
"Did R.J. Reynolds design the cigarettes they j manufactured and sold in the 2000s to rapidly deliver nicotine to the brain of a. smoker7 United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 ry /*%",The answer is no. \,
"R.J. Reynolds recognizes that because of the design of the cigarette, nicotine is rapidly delivered | to the brain \",,
"-- when the cigarette smoke is inhaled by the smoker, correct?","R.J. Reynolds reads the literature so they I do -- they are clear about what happens. When cigarette \ smoke is inhaled that would be the fastest way to get I nicotine to the brain, correct. \",
"Okay. So the answer to my question is R.J. Reynolds recognizes that for all of the years that they have sold -- strike that. | JT\ * O X7\ VZ- y 11 v*-J -L. Li O X. >w *- KJ *^A 1 1 -L. JLM SZZ CJ L- X X O . L- L* 11 >w Vw -I- *~J CI X. *w L. L* CIT -? that they designed, marketed and sold from the -60s Iwr X J. X. Vw/ L* S- IX L*. X X vJ &4 \J \J \J *w? # W X X >* X 1 L* 1 X C3. V*r s*D X11 >/ JV V*- JL JL X X X X GA> .X \** \*4 X-/ V L 11 V* smoker, nicotine is rapidly delivered to the brain, | correct? |","I don't know. I don't know if from the '60s [ forward. I don't know when the literature first \ started. So my answer is, I don't know when Reynolds \ would have known that. They would have known it when j the scientific literature was published in that area.",
"Okay, R.J. Reynolds recognizes presently that j United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Page 79 f the cigarettes that they designed, manufactured and sold in the '60s, '70s, '80s and into the 2000s, when the smoke from those cigarettes are inhaled by the smoker, nicotine is rapidly delivered to the brain, correct? f",Are you asking me what current knowledge is at Reynolds?,
I asked you what they know now.,"What we know now is, yes, that would be the case. If cigarette smoke is inhaled that would be the j fastest way in which nicotine would be transferred to | the brain, correct.",
"And R.J. Reynolds recognizes that rapid absorption of nicotine into the brain increases the risk \ substantially for someone to become addicted to \* _L vJ cL X. fzz L, L* *c. o / L^ \*J X. X. tr L-# L. *",I don't know if that's necessarily the case. |,
Okay. You don't think that a product that j enables rapid absorption of nicotine into the receptors j of the brain puts that user at risk from becoming > addicted to nicotine?,"No, I think exposure to nicotine would put that person at risk to be addicted to nicotine. | Certainly the smokeless tobacco that I have in my pocket \ United Reporting. Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 which has nothing to do with inhalation and nothing to do with rapid absorption to the brain, so my answer is most definitively no.",
"Okay. So I just want to be clear, it's the position of R.J. Reynolds Tobacco Company that a product that allows for rapid absorption, chronic rapid absorption of nicotine to the receptors of the brain does not expose the user of that product to an increased risk of addiction?",That's not what I said. 0 Okav Well is that true^ Is that what R J Reynolds believes?,
"All right. Is it the -- is it your testimony on behalf of R.J. Reynolds Tobacco Company that there is -- that rapid absorption of nicotine by the receptors in the brain, chronic rapid absorption is -- puts the user at the same risk of addiction for somebody who just absorbs nicotine through the lining of their mouth?",Is it the same? I think potentially it is the \ same.,
Okay.,"The question I don't ~ you, of course, j understand that a product cannot be measured in terms of j what its addictive potential is and that it's a measurement of people, not of the product. \ j j*r\ # cj # X A d - y 11 v -i* v i. o \*x vi* o JL y iA c** v*-! iv v^ x. ex -i- i. ici*11 L- 11>w^ JL X-J JL V-J iI L_* O I may have asked you this but I'm not sure, I'm just going to ask it again. I'm sure it's a question I know [ the answer. But R.J. Reynolds designed Doral Menthol j Lights to rapidly deliver nicotine to the brain of the j smoker, correct? |",
"Okay. And R.J. Reynolds designed Salem, Salem [ Lights, Kool, Kool Lights, Winston, Winston Lights to | rapidy deliver nicotine to the brain of the user, j correct?","They did not, no. |",
"And that would be true for the '60s, '70s, '80s, '90s and 2000s, correct? \",That is correct.,
"R.J. Reynolds designed their cigarettes that they manufactured and sold in the 1960s to deliver carcinogens to the user in sufficient quantity such that [ United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 the -- the user can develop lung cancer, correct?","They most certainly did not, no.",
"R.J. Reynolds -- did R.J. Reynolds design the cigarettes that they manufactured and sold in the 1970s to deliver carcinogens to the user in sufficient * >-J \Jk CL X 1 L JL. \MT y KJ \*A vy i, J L^ X X CJl \*> \*# 1 X \w v*l *J ^**- JL v** Vw* LJ, J L N*^ >*, Vw V \3* JL V/1 k-/ JL H J. 1 vJ v^> CA. 1 * V** ^ ^ JL p","Of course not, no.",
Did R.J. Reynolds design and manufacture the cigarettes that they sold strike that. Did R.J. Reynolds design the cigarettes that they manufactured and sold in the 1980s to deliver carcinogens to the smoker in sufficient quantity such that the smoker could develop lung cancer or other fatal diseases?,"They did not -- they did not design the products in that way, no.",
Did R.J. Reynolds design the cigarettes that they manufactured and sold in the 1990s to deliver carcinogens in sufficient quantities to the user such that the smoker can develop lung cancer and other fatal diseases?,"No, they did not design them that way.",
"Would the same be true for the '90s and the 2000s? United Reporting, Inc. CJi Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221","It would be, they did not design those products with that intent, no.",
Did R.J. Reynolds design the cigarettes that they manufactured and sold in the 19- strike that. Did R.J. Reynolds design the Doral Menthol Lights that they have manufactured and sold to deliver carcinogens in sufficient quantities to the smoker such that the smoker could develop lung cancer or other fatal diseases?,"They did not design them that way, no.",
"Did R.J. Reynolds design Salem, Salem Lights, Kool, Kool Lights, Winston and Winston Lights to deliver carcinogens to the smoker in sufficient quantity such that the smoker could develop lung cancer?","They did not have that design intent, no.",
"R.J. Reynolds recognizes that when a cigarette is used as intended, sufficient quantities of carcinogens are exposed to the user such that the user could develop lung cancer and other fatal diseases, c o r r e c t ? 4L J. / i , \ O v c y 11 \J -L\JL O X. tzi C* w LJ11 J zl szz > L. 1 1 d L L, X1 cX L. X J tz> Jv # yes. That potential risk.",,
"R.J. Reynolds recognizes that cigarettes i!4 manufactured Dy R.J. Reynolds had, in fact, caused lung cancer and other fatal diseases in smokers who have used ' IWWWMWWWWWIWW^^ O l GO o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 those cigarette products, correct?","We would, yes.",
"R.J. Reynolds recognizes that the cigarettes that they had designed, manufactured and sold in the 1960s, '70s, '80s, '90s and into the 2000s is inhalable by the smoker?","We certainly would recognize that smoking cigarettes, that people will inhale, we know that. Anything is inhalable, however. Inhalation is a learned behavior.",
What did R.J. Reynolds do to alter the design of the cigarettes that they manufactured and sold in the 1960s such that the smoker would not be able to inhale cigarette smoke into their lungs?,,
Yes.,Nothing that I am aware of. Inhalation is rarely talked about in the documents.,
What did the R.J. Reynolds Tobacco Company do to alter the design of the cigarettes that they manufactured and sold in the 1970s to address cigarette smokers inhaling cigarette smoke from their products?,"Nothing that I'm aware of. United Reporting, Inc. Q*54S""'5-^2''1 en GO o Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
What did R.J. Reynolds Tobacco Company do to alter the design of the cigarettes that they manufactured and sold in the 1980s to address the fact that cigarette smokers were inhaling cigarette smoke from their cigarette products?,Nothing that I'm aware of.,
What did R.J. Reynolds Tobacco Company do to alter the design of the cigarettes they manufactured and sold in the 1990s to address the fact that cigarette smokers were inhaling the cigarette products that they manufactured and sold?,To my knowledge nothing that I'm -- that I'm aware of.,
"What did R.J. Reynolds Tobacco Company do to alter the design of the cigarettes they manufactured and sold in the 2000s to address the the feature of the cigarette that allowed smokers to inhale cigarette smoke into their lungs from their cigarette products? MR, LATHAM: Objection to form.","There is no feature to allow people to inhale, it is a learned behavior. To my understanding, Reynolds has not addressed whether or not cigarette smoke can or shouldn't be inhaled.",
"Okay. Same questions for Doral Menthol Lights, what did R.J. Reynolds Tobacco Company do with 'TOWWiBWgBSiSSSB^ United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 respect to altering the design of Doral Menthol Lights such -- such to address the fact that smokers inhale cigarette smoke from that product?","They did not do anything with regard to inhalation as far as I know, that was never an issue.",
"What did the R.J. Reynolds Tobacco Company do with respect to Salem Lights, Salem, Kool, Kool Lights, Winston and Winston Lights with respect to altering the design of those cigarette products to address the fact that cigarette smokers inhale the smoke from those cigarette products? JL KL* DL . 1 1 1 v3- v i. w iO -J v-J 1X \ J J L* 1 i. \*J KJ \Z* V^ L. S-J Q . X. vl^ L- L- v** O W CI. iZJ X1 \# V C> JL altered to try to account for anything to do with inhalation.",,
What did R.J. Reynolds Tobacco Company do to alter the design of the cigarettes they manufactured and | sold in the 1960s to make it difficult for the smoker to i inhale the smoke into their lungs?,"To my understanding that was never done and I don't know that -- that that is a -- that you can even do that. Because I know for a fact that some of the harshest smoke that I know of is cigar smoke, that people inhale cigar smoke. So inhalation is a learned * jfc JkmJ Km* X J. CJ. V JL \** JL * JL Lr 1 1 CX O JL -L- K* L- JL vl v* v / v l vJ W JL L* 1L KJ JL \J vJ. \JL \** L* vj- C* O JL y 1 1 *",
"Okay. What did the R.J. Reynolds Tobacco 'UWI-!!M!!-MWM!'!-H^ Oi GO I cn o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Company do to alter the design of the cigarettes they | manufactured and sold in the 1970s, '80s, '90s and 2000s f to make it difficult for the smoker to inhale the smoke into their lungs?",Nothing that I'm aware of.,
Okay.,Not for those particular reasons.,
What did R.J. Reynolds Tobacco Company do to alter the design of the cigarettes they manufactured and | sold in the 1960s to prevent smokers from becoming addicted to their cigarette products;,"It was never addressed in the 1960s, mainly because cigarette smoking was not considered to be j addictive at that time.",
So I'm going to ask you the question again. | What did R.J. Reynolds Tobacco Company do to alter the design of the cigarettes that they manufactured and sold \ in the 1960s to prevent users of the product from j becoming addicted to the product?,Nothing. And cigarette smoking was not considered addictive in the 1960s.,
"Move to strike the last part of your answer as \ nonresponsive. What did R.J. Reynolds Tobacco Company do to I United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 alter the design of the cigarettes they manufactured and sold in the 1970s to address the user of the product from becoming addicted to cigarettes?",Nothing. And cigarette smoking was not considered to be addictive in the 1970s.,
What did R.J. Reynolds Tobacco Company do to alter the design of cigarettes they manufactured and sold in the 1980s to address the -- whether the smoker would become addicted to using the product?,"Again, in the 1980s there was nothing -- that issue was not addressed. There were no alterations that I know of that were made to the product. It was not",
What did R.J. Reynolds Tobacco Company do to alter the design of the cigarettes they manufactured and sold in the 1990s to prevent users of the product from becoming addicted?,"Nothing that I'm aware of. It's not been addressed, per se. No.",
"What did R.J. Reynolds Tobacco Company do to United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 users of the product from becoming addicted?",Nothing that I'm aware of. It's unknown how that can be done.,
What did R.J. Reynolds Tobacco Company do to alter the design of Doral Menthol Lights to prevent users of the product from becoming addictive?,"Again, that issue has not been -- there's no alterations to address that particular issue. alter the design of Winston, Winston Lights, Salem, the users of those products from becoming addicted?",
"When R.J. Reynolds designed, manufactured and sold Winston, Winston Lights, Salem, Salem Lights, Kool, those cigarettes would expose the smoker to carcinogens in sufficient quantities to cause lung cancer in the ^WWWi^W^WI^^WWWS^^ CO Ol o oo United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 o smoker, r\ Q Page 90 I rirs-yyctrrf''*? \",,
"Any diseases that have been linked to being caused by smoking, did R.J. Reynolds intend their cigarette products to cause those diseases?",R.J. Reynolds never intended to cause any disease through the use of their products. So my answer would be certainly not -- no product was designed to do that.,
"When R.J. Reynolds designed, manufactured and sold Winston, Winston Lights, Salem, Salem Lights, Kool, Kool Lights and Doral Menthol Lights, did R.J. Reynolds intend for the smoker to become addicted to the nicotine?","No, they did not.",
"With respect to those brands that I just listed that R.J. Reynolds designed, manufactured and sold, did R.J. Reynolds intend that the cigarettes would deliver nicotine in sufficient quantities to sustain addiction?","No, they did not.",
"Okay. R.J. Reynolds recognizes that, for example, Doral Menthol Lights delivers nicotine in sufficient quantities to sustain addiction, correct?","I would I would say the answer to that is United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 yes and no. Because no one knows what that line is, what -- what amount of nicotine can be delivered that would not sustain somebody who's addicted to nicotine. I don't think that that has been scientifically established. So we it's a yes and no answer. I'm sorry to not being any more specific than that.",
"But you know R.J. Reynolds knows that the level of nicotine that's contained in a Doral Menthol *J J_i JL \A XXL. -X. O O KX -L J_ _L W J- *w ILL- ' L* \~J O LA 13 L# O. L 1 I OL L A \JL JL v.** L- JL U XX L# w i I JL w w L* JL X 1 CT / correct? MR, LATHAM: Objection to form.","The amount that's in current all current cigarettes today are considered to be addictive, so I guess the answer would have to be yes, that is known.",
"When R.J. Reynolds designed, manufactured and lo sold Winston JLigntis, oaiern. LiignLS, JAOOI LIgrits, uorai Menthol Lights, R.J. Reynolds intended for the smokers of those cigarette products to block the vent holes?","No, certainly not that.",
"When R.J. Reynolds designed, manufactured and sold Winston Lights, Salem Lights, Kool Lights, Doral Menthol Lights, it. was R.J. Reynolds intent that smokers would block those vent holes altering the way the cigarette was smoked by the user, correct? TT?vS???!SgT!?CTffi^^ en GO United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221","No. That was never intended, no.",
"Okay. When R.J. Reynolds designed, manufactured and sold Winston Lights, Salem Lights, Kool Lights and Doral Menthol Lights, RJR intended for smokers to smoke more deeply and take more puffs of those cigarettes, correct?",No.,
"When R.J. Reynolds designed, manufactured and sold Winston, Winston Lights, Salem, Salem Lights, Kool, Kool Lights, Doral Menthol Lights, R.J. Reynolds expected that those cigarettes would expose smokers to cause lung cancer and other fatal diseases?","No, that's not necessarily true, no.",
Is it indirectly true?,"Certainly Reynolds knew by the time those products were designed, because I believe those would be in the 1970s, that carcinogens would be present in cigarette products, but it would not be intended that",
"Right. My question is: So when R.J. Reynolds u */ \Ji v3T O JL vJ i i KZr \JL t 11L d 11 vJl JL CL w L* Ul JL KZ \*X OL 11 v** O v- JL \*A L* 1 1 v-/ O *3T hJ JL \J VJL Li. \~* L* I O / f V J L l l C S L - KJ l i t Winston Lights, Salem, Salem Lights, Kool, Kool Lights 1 en CO and Doral Menthol Lights, did R.J. Reynolds expect that en o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 those cigarettes would expose the smoker to carcinogens in sufficient quantities such that it could cause lung cancer and other fatal diseases?",And my answer would be no.,
