question,answer,Declarative_Text
Please state your full name.,My name is James Figlar.
"Dr. Figlar, if the tobacco industry through the Tobacco Institute or otherwise was making false statements or was making misleading statements to promote the sale of cigarottoD as VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com c c this memo suggests, you would agree that would be wrong, don't you?",I would.
"And that would be highly improper, knowing how deadly oigarettes are and knowing how many youths in our in our society are smoking, oorreot?",Are you asking me why? Are you asking for my opinion?
"Yeah. I'm asking your opinion, as the corporate representative for R. J. Reynolds, why would it be wrong to mislead the American public in order to promote the sale of oigarettes; do you khow why?",
"Okay. They should not lie to to make pjtofits, correct?",
"And they should not lie to make profits, especially when they're selling a deadly product that can kill people, right?",
"Right. But the the the actual result of lying would be different if you were lying about selling a piece of paper or whether ybu're selling a product that has 70 carcinogens or nicotine in it, you understand the difference, VERITEXT REPORTING COMPANY 212-2)79-9424 www.veritext.com 212-490-3430 http://www.veritext.com Doctor?",
Right.,period.
"But most most companies who make deadly products know they shouldn't lie about it, right?",
"Right. And if a company that made deadly products was lying about it, why would that be wrong? That's what I want to know, Do you know why that would be wrong?",
"And people and if people rely upon the lies and are misled they can die, right? Do you know that?",
"Right. If the lying and the misleading leads leads people to continue using a deadly product, that's a problem, right?",
And that's why R. J. Reynolds shouldn't do that?,
"And the next exhibit, Exhibit VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 en *s) o http://www.veritext.com **4i- **+-*t **' *""utH1'1**^**'''**> n4<w)H'lii'*'i 'im<m t##H>WWII|llB c c Exhibit -- I'm sorry -- Number -~ it's 1941, which is Exhibit 17?",Okay.
Do you have that?,I do.
"And again, that's a memo to William Kloepfer, Jr., from the Tobacco Institute, correct?",It is.
"From Carl Thompson dated October 18th, 1968, correct?",Yes.
"And they're discussing in here Tobaooo and Hoalth Research Reports, oorreot?","Yes, they are."
And what are Tobaooo and Health Research Reports?,"I think, as I recall, these are cbnglomerations of scientific and other articles written about the subject."
"Okay. And again, the ~- the publio health is still should still be paramount to the tobacco industry, correct?",The most important type of story is that which casts doubt on the cause and effect theory of disease and smoking.
And that is and we can go back and talk about -- who was the primary audience for these reports?,I'm not I guess it says go out to doctors and scientists.
"Okay. And the secondary audienoe is the news media, correct?",That's correct. That's what it says here at least.
"And in Paragraph -- Paragraph B they're talking about the oriteria for selection within theso Tobacco and Health Research Reports, oorreot?","That i s the name of the ejection, y o s . VERITEXT REPORTING COMPANY - www.veritext.com 212-490-3430 ***MM4h**niWMpMfMMrtl en KI o http://www.veritext.com c"
And if you could just read the first paragraph without the bullet points into the -- without the examples.,"Without the examples? 0, Yes."
"Okay. So they're talking about the type of stories that they want to include within these tobacco research reports that they're disseminating to doctors and scientists and the news media, correct?",
"And so they want reports that are indicating other factors other than smoking that may be involved with causing disease, correct?",That would be that's what it cays one VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 cn o http://www.veritext.com of the criteria could be.
"And then they're talking about in Number and 3, they're they talk about being interested in stories -- read 2 and 3 the type of -- those two types of stories that they're interested in in finding. A, I'm sorry. I'm not following. What did you say, 2 or 3?",
"Under examples under examples, the second and third example, if you oould read those into the record, I want to ask you about those.","Oh, okay* The second --* just the second ahd just the third, not -~ not the whole thing. In one --"
Yeah.,One in which death certificates or classifications of such a disease are questioned. Ahd Number 3 is one showing that many lung cancers may be metastatic from some other organ.
"Okay. So they're looking for articles that are written which questioned death certificates and also other articles that say that lung cancers may be metastatic from other organs, correct?",
"And then if you go to Page 2 again, and when they talk about these type of stories, if you oould read that again into the record, the first sentence?",
"So is it your understanding, as the corporate representative from R. J. Reynolds, was that they wanted reports to publish which showed that lung cancers may be metastatic from other organs in order to cast doubt on the cause and effect theory of smoking and disease, that was one o|f the things they were trying to do?","Well, that's what's stated in this in this sentence here. Of course, I think the industry believed that that that question was n >t settled, and therefore, they wanted to have VERITEXT REPORTING COMPANY 212-2J79-9424 www.veritext.com 212-490-3430 http://www.veritext.com that view known because they didn't believe that people were informed about other possible avenues oh how the association could be looked at."
"So you think they were trying to be honest ahd forthright again with the publio, correct?",
"And then if you could read under Important: Subsection B, can you read that into the record, please.","I'm I'm sorry. Where where are we, Pjage 2 still?"
Yeah. VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com,Under Writing?
Headline; do you see that? Headlines.,Read headlines?
Yes.,"Headlines: There should be -- these should be very carefully written on the premise that doctors and scientists, like other readers, often grab information from the headlines and nothing more. Thus, the headline should strongly call out the point -- controversy! Contradiction! Other factors! Unknowns! Q, Well, they actually have all those with exclamation points, oorreot?"
"So they're saying the headlines should strongly call out the point that there's a controversy, contra -- contradiction, other factors ox unknown, oorreot?",That is what they're suggesting here.
"And in doing so, they're looking for sltories including stories in which death certificates are questioned, oorreot?","That -- that was one of the potential criteria, yeah."
"And they're looking for stories that show VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com that -""~ that -""* that *-** that tell the public that lung cancers may be metastatic from other organs, correct?","That was another one of the several criteria written there, yes."
"Doctor, you're a scientist, you know that most unknown primary lung -- most unknown lung -- most unknown primaries that are found in the lung are actually lung cancer primaries, oorreot?",
Did you ever learn that most unknown primaries turn out to be lung primary?,
Why would it be important for the Tobacco institute or the tobaooo industry to oall out controversy -- controversy and contradiction in newspaper articles or or scientific articles that say lung cancer may have come from an unknown primary?,
"But if we can go back to Exhibit 16 then again, which is 2130, where they talked about our basic position in the cigarette controversy is subject to the charge and may be subject to the finding that we are making false statements or misleading statements to promote the sale of ctigarettes; do you remember we spoke about that?","Well, that's what they're suggesting theit VERITEXT REPORTING COMPANY 212- 79-9424 www.veritext.com 212-490-3430 http://www.veritext.com this is what people may say about us, but that doesn't mean that's what it was. They're actually warning and saying, you khow, they're people are probably going to come out and say that we're -- we're making stuff up, but that doesn't mean that that's true."
"Well, that's what -- that's what actually happened, actually in the Engel trial you were actually found to have done that, right?",
Right?,
You know that. We have spoken about that before.,"Look, I'm aware of the findings, but I don't know that the that the findings from a jury are really the same thing as what is happening ih the scientific community and the serious questions around cause and effect relationships, how that's viewed, how that's determined, shifts in scientific thought. That is not the same thing."
"Well, that sounds pretty complicated the VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com way that you're putting it, Doctor, but the truth is, it wasn't only the Engel jury, but it went all the way up to the Florida Supreme Court and the Engel findings were were were actually affirmed, were they not?",
"Well, so in 1968 when this individual was writing that our position in the controversy may be sjubjeot to the finding that we're making false and misleading statements to promote sale of oigarettes, my question to you is: If they were, in faot, making false and misleading statements to typo of conduct from such a big industry?",
Was it money? Were they motivated by,
"Okay, But remember the Frank Statement that the public health was paramount, remember we sf>oke about that?","I do, yes."
"So between 1953 and 1968, do you know how much money the industry was making at the same time knowing how many people were dying; do you know that?",
The next exhibit is Exhibit 18. It's in one of those press releases. Were you able to pull t^ose out? It's PT05504-0224?,
"The next document, Dr. Figlar, is Exhibit 19, which is PT0719; do you see that?","I have it. Q, And, Doctor, you agree I'm going to go over some press release statements with you in a moment, okay?"
And you would agree the people making the press release statements on behalf of the Tobaooo Institute and the tobacco industry generally would have more knowledge about smoking and disease than the average smoker; would you agree with that?,"I don't know that I can speak for the Tobacco Institute. I can certainly speak fbr R. J. Reynolds, and I would say the people at R. J. Reynolds would have more knowledge."
"Okay. And when statements were being made tb the public about smoking and disease, it was the djisire of R. J. Reynolds and the industry that the public hear the statements, listen to the information and hopefully they would believe it, r{i.ght? VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com",
"And it would be wrong to issue publio statements for the purpose of -- of creating doubt, right?","I think it would be wrong if the if they did not believe that those statements were real or credible, but I don't know that there's anything wrong with creating doubt if you believe that doubt should be in question. If there's a if there's a subject matter that you think there's there's controversy around or that you think is still being djsbated, then I don't think there's anything wrong with -- with offering other sides of an opinion in an argument. I don't think there's anything wrong with that."
"Okay. So, again, you know the Frank Statement, R. J. Reynolds and the Tobacco Institute indicated that the publio health is paramount to all other concerns of their business, right?","That is what the Frank Statement said, y0o, that is correct. VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com c (""""v"
"And you know that a cigarette we know --we know that a cigarette -- well, we know back in the '50s and '60s it was being claimed by many eminent scientists that cigarettes were causing the deaths of hundreds and thousands of American citizens, oorreot?",
"Right. But when -- when you're making a produot that's deadly that people are or could be dying from, you agree you've already agreed that the public health is paramount to any other concern, right?","We -- they did -- they did state that, yes."
"And you want to be cautious in the type of things that you're asking the public to rely upon VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 http://www.veritext.com mbtmtmmmmmwmtm when there is concern that your produot is killing people, don't you?",
"And you certainly don't want to be issuing statements purely for the purpose of creating doubt or establishing a controversy, oorreot?","If -- if - if that is only - the only purpose, then yeah, I would agree with that, but I mean, ultimately there's nothing wrong with ojffering up another side of an argument, especially if you believe that to be the case."
"And if you don't believe that to bo the case, then that's a big problem? VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 I M M I M M W M * . W *sl O O l CD http://www.veritext.com c J * * * ^ . c",
"And so Exhibit 14 [sic], which is 719, do yj>u know what this document is?","I I think I reviewed this dooument. I don't know -- I think this is a BfiW document, but I don't I don't see an author and I don't see where it went or who it went to."
"Okay. So just assume that this is going to be in evidence at the time of trial. It's -- ahd the jury will be explained what this dooument iB, but can you go to Page 2, please.",Okay.
"And if you go down to the the paragraph where it says, the Tobacco Institute has probably done a good job. Can you read that sentence into the record, please.","It says, the Tobacco Institute has probably done a good job for us in the area of politics and as an industry we also seem to have done very well in turning out scientific information to counter the anti-smoking claims. 0. And if you can go two more pages to -- not VERITEXT REPORTING COMPANY 79-9424 www.veritext.com 212-490-3430 Ol W , Nl o O) o http://www.veritext.com If yih*M*|t*# , * * f t+mt+i c c J0*^*. the next page, but the page after --"
"-- in that last paragraph, if you could read the first three sentences into the record, please.","Doubt is our product since it is the best means ~- means of competing with the, quote, body of fact, end quote, that exists in the minds o f in the mind of the general public. It is also the means of establishing a controversy. Within the business we recognize that a controversy exists."
"And then the next page, please, on the second paragraph. The second paragraph, the second sentence.","If it is if in our pro-cigarette efforts we stick to well-documented fact, we can dominate a controversy and operate with the cbnfidenoe of justifiable self-interest."
"And what is that justifiable self-interest that they would be operating with, if they dominate this controversy?","Well, I think the self-interest of being in business and having the facts on your side."
Did they ever discuss in that paragraph or ahywhoro where you read this dooument where they VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 mm/tmrnmimmmmm O l o CD http://www.veritext.com were looking to operate with confidence and helping the public health interests of their smokers?,
"Doctor, when you tell the truth do you think it's important to tell the whole truth or hjalf truths?",
"The whole truth, right?",Sure.
"So, if doctors are coming forward and saying it might not be known that smoking causes ljung oancer, but those same doctors are receiving finding from the CTR, do you think it's important VERITEXT REPORTING COMPANY 212479-9424 www.veritext.com 212-490-3430 http://www.veritext.com W M ^ ^ M ^ J + M W I T * ! ' - mmmn> II >ywmm**m**m******m Hm*>m*mm*tm#m /^*v c to let the publio know where those doctors are getting their funding from who are saying that?",
People like --,"-- their research, so"
-- R. J. Reynolds --,I don't see why that's an issue.
"Well, if there were scientists at R. j. Reynolds who believed that smoking caused liing cancer in the 1950s and '60s, don't you think it's important to let the publio know that those sbientists in your company had those beliefs back then?",
"So, Doctor, you believe as you sit here under oath today, you believe that in the '50s and '60s of all of the scientists, all the researchers at R. J. Reynolds, Brown & Williamson and American Tobacco Company, there weren't any that believed stnoking caused lung cancer, right?",
Is that what you believe?,
"Okay. First of all, Doctor, we've already discussed the BAT document earlier in this disposition where they interviewed people from the Tfc and R. J. Reynolds; do you remember that?",I do.
"Okay. So I'm not going to rehash that with you right now. I think that would be a waste of time. We also know from prior trials you've seen documents, have you not, where R. J. Reynolds and Brown & Williamson have destroyed documents. Have you seen those documents?",
"Okay. So my point is we know that outside of R. J. Reynolds, and outside of Brown Williamson, and outside of American Tobacco, there were scientists in our country, many of them who believed smoking caused lung cancer, oorreot?","I would agree there were, yes."
"And there were millions of Americans who believed that smoking caused lung cancer, correct?",I don't think there's any question. I believe that is correct.
"So are you saying but despite all the people outside of R. J. Reynolds, are you saying there was no scientist or researcher within your cbmpany who had the belief that smoking oaused lung cancer?",I can't speak
"Were they not allowed to have that belief? If they worked for your company, were they not allowed to have that belief?",
Show me --,"I'm sorry, but that is I'm not finished with my answer. But that is the point that I'm trying to make. The scientists within Reynolds did net believe that it was appropriate to change the means by which cause and effect relationships should be established, nor could the scientists at Reynolds determine what types of causative agents would be responsible to have that cause and effect relationship. They oould find toxicants in smoke. They obuld find carcinogens in smoke, but they oould not find them in sufficient enough quantities to suggest that that it would cause human disease. There's a distinction in what I'm trying to say bjatween establishing cause and effect relationship, which is what TI was talking about, and what I was talking about in terms of what scientists believed ahd the belief that whether or not something might bo a danger. I think there's scientists that bblieved it could have> been a danger, certainly. VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 http://www.veritext.com"
"Okay. So where have you seen any press release or statement from the Tobacco Institute, the CTR or R. J. Reynolds, Brown & Williamson or American Tobaooo where they came forward and they said, there are scientists in our company who believed that smoking oigarettes is dangerous and can cause lung cancer?","I mean, the TI said it oould be a cause. They they I mean, they they've said it on a! number of occasions. You sent video where it s^ys it may be or it may not be. You saw it in in the True article. It may be or it may not be. It was a question. They -- they -- they didn't know for sure, and in the absence of definitive proof, many scientists will default to say I don't know because that is -- that is the position that a lot of people would take. That may net be the same position that the publio health community had taken or that the publio health community should take, but that is the position of many scientists."
"Okay. Doctor, you're telling me that people came forward and said, hey, it may be, it may not be, I get that. We're going to go through those. VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com nsaaen .***+-*** I*** H M H B I I M M M l K c I want to know the statement where R. J. Reynolds came forward and said, we have scientists working in our company who believe smoking caused lung cancer, when did you make that statement and where was it made for the first time?","I don't know that that that they were that they made that statement in this time frame. I know that Bowman Gray acknowledged the the statistical association in '64, and recognized that that was a problem. I've seen documents from Alan Rodgman saying that, in essence, as an operating premise, we should try to remove carcinogens from oigarettes so that that might be an issue. But I mean, I don't know a public statement per se that that would make that declaration."
"Doctor, when is the first time R. J. Reynolds publicly admitted that smoking causes lung cancer?",In that simple terminology in 2000.
"Prior to 2000 did R. J. Reynolds, the Tobacco Institute, Brown & Williamson or American Tobacco ever issue a statement where they told the public that there were scientists, working in your Ijaboratorios who hold the belief that smoking did VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 HI III M HI "" II cn si o http://www.veritext.com i*****mmmmmwM*tmimwm yjmm,^ c c cause lung cancer and may kill smokers prior to 2000? did thai",I don't know that. I don't know if they or did not.
"The best you oould do -- the olosest to t is that you have statements from the Tobacco Institute telling smokers that it may or it may not , no one knows, right?",
Okay. All right.,
Dr. Figlar --,"Yes, sir Q, I want to go back -- I want to go back through some of these press releases and publio statements that were being made by the Tobacco Institute, okay?"
"I want to have you look at Exhibit 18 and 20, which are PT05504-224 and PT5504-283. Do you have those in front of you?","I have 18 and 20. I don't have the other I don't have the PT designation, but I VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com *fc c c l have 18 and 20."
"Okay. So Exhibit 18, what is that, Dbotor?",This looks like a -- this looks like a piress release.
"Okay. And, again, that was a press release from who?",This one is from the from the Council for Tobacco Research.
"And this would be a -- and it was a statement made by Dr. Clarence Cook Little, obiPJ*eot?","It looks to be, yes."
"And he was the director of Council for Tobacco Research, correct?",I think he was the --he was at least at one time the head of -- of the CTR.
"Okay. So, again, this was a statement b^ing made to the publio that -- by a representative for the Tobaooo Institute, correct?","If it was published, yes. I mean, it is a press release, so the intent was that it would be a public statement. Whether it got published or not is a separate question, but yes, it would presume to be. VERITEXT REPORTING COMPANY 212479-9424 www.verltext.com 212-490-3430 Ol CD rO http://www.verltext.com"
"And it was sent for release at 6:30 p.m. Monday, February 3rd, 1963, oorreot?",'69.
"'69* And oan you read the first two paragraphs into the record, please?","I can. The the scientist who has been associated with more research in tobaooo and health than any other person declared today that, quote, there is no demonstrated causal relationship between smoking and any disease. ""The gaps in knowledge are so great that those who dogmatically assert otherwise - whether they state that there is or is not such a causal relationship - are premature in judgment. If anything, the pure biological evidence is pointing away from, not toward, the causal hypothesis."""
"And, again, that was a statement that you wanted the public and the consumers to believe, oorreot?","They would, yes."
And that was a a a - - and you would agree i t would be wrong i f they were i s s u i n g that statement for the purpose of i n s t i l l i n g doubt or confusion in the mind of smokers?,
"Well, is that the consequence that you wanted, you wanted the smokers to have doubt and opnfusion about the relationship between smoking and and serious diseases?",
Okay. But you -- you talked about the consequences. You you said if it was a consequence that there was doubt or confusion in the mind of the smokers that would be okay; is that what you're saying?,I'm not saying that it's whether -- it's okay or not. What I'm saying is the purpose of the VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com statement may not necessarily be just to cause doubt for the sake of doing that. That may -- but having a controversy or maybe people doubting the other side of the argument may very well be a consequence.
Was that a desired consequence?,I think the desired consequence was to get this message out.
And the message being that there's no proof that smoking causes lung cancer?,
Okay. And so you -- you indicated before that there were people from the American Cancer Society and other public health organisations who were researching and were believing that smoking caused lung cancer; do you remember that?,"I believe that there that there were. There were certainly people from the American Cancer Society, but there were also people from National Cancer Institute that felt that the causal relationship was not established."
"All right. We're going to talk about that VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com in a moment, but there were people in the public health community who were putting out the message that smoking causes lung cancer in the '50s and '60s, oorreot?","I think in the '50s that that would there were those that thought that. I don't I don't know that too many went that far because of what needed to be established in order to determine that. In '64 that changed, but there were people that I think certainly believed that that was the case and were researching to try to generate enough proof to prove that."
When do you believe there was a scientific cbnsensus that smoking caused lung cancer?,
"Well, you know there's a difference between the word most and majority. Majority is more than 50 percent and most is almost everybody. So by the 1960s and 1970s do you think it was roost scientists or do you think it was just majority?",
"Okay. And as a product cigarette manufacturer do you agree, especially when you're saying the publio health is a paramount concern, that you should know at least as much about your product as people who are not manufacturing your product?",
Did R. J. Reynolds recognise and understand that it was risky to be smoking cigarettes in the '50s and '60s and '70s?,"I don't I don't know if they if they would make that statement. I know certainly in the '60s they recognized that there %ras r.n association VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com c c Jm*^. j between the statistical data and smoking. So I think that's probably a recognition of certainly the possibility that it existed. I've certainly seen scientific documents in Reynolds that we have gone over before that wbuld suggest that it would be appropriate to remove, if you can, certain toxicants in smoke. So they certainly recognised that the possibility existed."
"I want to know when did R. J. Reynolds when did R. J. Reynolds first appreciate, understand that if somebody smoked your product there were real significant risks that they oould get sick and die?",
"Okay. I don't think you answered it, so I'll move to strike again, but let's move on and and just go through these documents.",Okay.
"That might be the easier way to do it with you. The next exhibit is Exhibit 5504-283, which is Exhibit 20; do you have that?","I do. 0. And can you read the first paragraph of that press release? Well, that was a press release scheduled for Thursday, April 30th, 1970, by the Tobaooo Institute, oorreot?"
And can you read the first paragraph.,"Sure. It says, the Tobacco Institute declared today that the American Cancer Society is withholding significant data from scientific scrutiny in connection with an experiment which the Society claimed resulted in production of lung cancer in dogs with cigarette smoke."
"So the American lung cancer the American Cancer Society was saying smoking causes lung cancer and they were citing to an experiment wj.th dogs to -- to support that theory, oorreot?","In essence, yes, they had suggested -- actually the ACS had had a press conference to ahnounce the study and the results of the study, but they did not release the data."
Okay.,The scientific data that would support the conclusion in the press release.
"Right. And you wanted the American publio tb believe the Tobacco Institute, the tobacco industry, over the American Cancer Society, ebrreot?",
When did the tobacco companies first publicly provide their data or their public documents to the publio? When were your internal documents first made publio?,
"Sir, you're not answering my question. Ybu know that there were internal documents that you were forced to turn over in the late 1990s, early 2000s, correct?",
Do you know when the tobaooo companies f^rst -- first put forward to the publio their secret confidential internal documents?,"Oh, I'm sorry, 6001? V J E R 1 T p X T R p p 0 R T I N G COMPANY 212-279-9424 www.veritextxom 212-490-3430 http://www.veritextxom"
"Yeah, Number 21.",Okay. Hold on.
And what is that dooument?,It looks again like a press release from tjie Tobacco Ins t i tu te .
"And hold on. What is can you tell me the date of it, Doctor?","It doesn't have a date, but the title is Tfie Tobacco Institute Believes the American Publio is Entitled to Complete, Authenticated Information i About Cigarette Smoking and Health. The American i Cancer Society Does Not Seem to Agree. But I don't spe a date on it, sir, but knowing the issue I gjiess around 1970. (Figlar Exhibit 22, Artiole titled The Question about Smoking and Health is Still a Question, reprinted from the Washington Post and other newspapers Tuesday, December 1, 1970, PT0664, was marked for identification.)"
"Okay. And the next document is PT -- is Exhibit 22, PT00664; do you see that? j VERITEXT REPORTING COMPANY 212-2)79-9424 www.veritext.com 212-490-3430 http://www.veritext.com",
Okay. What is that dooument?,This is another Tobacco Institute document.
"Okay. That was -- it's not a document. It was a newspaper ad taken out by the Tobacco Institute in December of 1970, correct?","That is correct. It is says on it it's newspapers, December 1st, 1970."
"And, again, that is a part of the propaganda from the Tobacco Institute to help shape public knowledge and publio opinions?","I mean, the -- the -- I don't know that I I'd call it propaganda, but it's certainly from the Tbbaoco Institute. It's an advocacy piece putting forth their issues."
"And can you read the headline, please.",After millions of dollars and over years of research the question about smoking and health is still a question.
"And the seoond paragraph, can you read that, please.","It says result. So far, in spite of this VERITEXT REPORTING COMPANY 212-^79-9424 www.veritext.com 212-490-3430 http://www.veritext.com ! pww*wM*'ii m*ii>iii* wiliiiiwpi MMM#iHiWiiiPi c c massive effort, there are eminent scientists who question whether any causal relationship has been proved between cigarette smoking and human disease i * Lnoluding lung cancer, coronary heart disease, or emphysema. They believe that years more of exhaustive investigation will be required to clear up do i what is indeed now a muddy picture."
What muddy picture are they referring to; you know?,
Okay. But that's not what they said. You VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 Ol o CD O) http://www.veritext.com just said even today we don't know the exact mechanism; do you remember saying that?,"I'm sorry? I'm sorry? Q, You -- you just said you said today we dcm't even know the exact mechanism; do you remember saying that?"
"I'm just asking if you remember I'm asking if you remember saying that, because that's not what the artiole says, is it? They're talking about something different, aren't they?",No. You asked me
"The artiole -- Doctor, the artiole says the artiole says there are eminent scientists who question whether there is any causal relationship has been proved between cigarette smoking and human disease, right?",Right. And so when you asked me the question as to why
"This artiole is telling the public in sjpite -- Doctor, let me finish -- so this artiole its telling the publio in spite of this massive effort there are eminent scientists who question VERITEXT REPORTING COMPANY 212-2)79-9424 www.veritext.com 212-490-3430 http://www.veritext.com whether there is any causal relationship has been proved between cigarette smoking and any human disease, correct?","It says that, yes, that is oorreot."
"And then on the the third to last paragraph it goes on to say the work should go forward and you can read those two paragraphs, pjLease,",I'm sorry? All the way down to the end? $t> you don't want me to -- never mind. So the last tfio paragraphs?
"No, the second there are eminent scientists, if you oould read that and the last -- tfio next one.","You've lost me. I'm sorry. Q, There are eminent scientists who believe tfiat the question of smoking and health is an open one and the research in this area must go forward. Did I read that correctly?"
Okay. At the very end --,Okay.
"At the very end where i t says the work s h o u l d go f o r w a r d - - VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com c c ""v,.",Okay.
do you see that?,"Thank you. Yes, I do."
"And then it says, from the beginning, the tobacco industry has believed that the American people deserve objective scientific answers; did I rtad that correctly?","Yes, you did,"
"And you would agree with me, Doctor, that the American public, especially smoking consumers, were entitled to have objective, honest answers, don't you?",Yes. Sure.
"And this this artiole, this research was actually sent to all the congressmen in Washington, wasn't it?","It may have been. I don't know if it was or was not. I know it says it's a reprint from the Washington Post, so 1 don't know if it got sent out further than that. It may have."
"But regardless, sir, isn't it true that the CTR -- well, the CTR at that time was actually only interested in evidence to support their denials that smoking causes disease?",
"Okay. Let's look at the next exhibit then, it's 1807, which is Exhibit 23. Do you have it?",I do. Is this --
"And this is a memo from Cullman to Wakeham [jsic], correct?",It is.
"And they're discussing in this meeting -- in this memo a November 30th meeting with the CTR executive committee, oorreot?",That is oorreot.
"And they're talking about the -- the -- t^e stated objective or purpose of the CTR, correct, in this memo?","That is a that is a heading, yes."
"And so if we could go through it and read, it says - - d o you see in the first paragraph it s^ye what kind of CTR program is boct for the VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 IMM^dt^lttKflphMM""**""* ^ J o O http://www.veritext.com industry. Did I -- do you see that?",That's in the f i r s t paragraph from the t*>p?
"Yeah, second sentence it says --","That's right. 0* ~~ the question, what kind of CTR program is best for the industry; do you see that?"
Okay. Can you read the rest of that paragraph into the record?,"It says, at the meeting it was apparent this question is troubling many elements of the industry to the extent people are reluctant to djtscuss the subject openly because of the diversity i ojf views. To some extent this unsettled state also exists within Philip Morris. In the hopes of clarifying, at least partially, the matter I offer tjie following summary, hastily adding that these"
Okay. And then it goes on to say the stated objective or purpose of CTR; do you see tfiat? VERITEXT REPORTING COMPANY 212-^79-9424 www.verhext.com 212-490-3430 http://www.verhext.com,"I do. 0. Okay. And so they're saying what is what is the purpose that we're stating that we're telling people of CTR is, and can you read that first sentence of what the stated purpose is?"
"So that's the stated purpose, that they're telling the public of what the CTR is supposed to do, correct?","Well, I mean, it's both, isn't it? It says, stated objective or purpose of the CTR."
"Okay. And then if you oould read the last sentence of that Number 1 heading, in any oase?","In any oase, this statement of purpose does not reveal the -- the objective need of the industry in supporting the CTR program."
And if you can go on and read the first four sentences of the next paragraph.,"Two, it has been stated that CTR is a program to find out ""the truth about smoking and health."" What is what is the truth to one is false to another. CTR and the industry have publicly and frequently denied what others find as VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com r C C c ""truth."" Let's faoe it."
"Okay. Let's face it and the next paragraph -- I mean, sentence.",We are interested in evidence which we believe denies the allegation that cigarette sftoking causes disease.
"Okay. So where in that -- in that statement where they're talking about the objective ahd purpose of CTR, and they're discussing we are interested in evidence we believe denies the allegation that cigarette smoking causes disease, where in there do they discuss that the publio health is still a paramount concern of theirs?",
"Okay. And then it goes on on Option B, they're talking about things of what they can use the CTR for, oorreot?",
"What is Option B, what arc if you can VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 oi o http://www.veritext.com read that first paragraph and tell the jury what they're talking about.","It says, Option B, use the CTR program as a means of establishing expert scientific witnesses who will testify on behalf of the industry and legislative halls, in litigations, at scientific meetings, and before the press and the publio."
"Okay. But you just told me previously or you told the jury that the stated -- stated objective was to aid and assist research in tobacco ahd health, correct?","That was what was disoussed here, but of course, this is a memo, which is talking about a meeting as to what we should do with the CTR. 0. Right,"
"Right. So one of the things they're purporting to do is not -- they're not talking VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com about assisting with research, but they're talking about establishing expert witnesses who will support the industry, oorreot?",
"Wakeham Wakeham was at the meeting, correct, with the CTR, oorreot?","I think he said he was at the meeting, yfrs."
"Okay. And he's reiterating in this memo what took place at the meeting with the CTR, correct?","He was trying to sum up, as we read in the first paragraph, what kind of ideas were thrown around. Remember, he said --"
And they were talking,I offer hastily these statements embody many ideas from many places.
"Right. And they wrcs talking about uoing Yj ]yjjj 'P REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com IMIMHH m<imim the CTR program to establish expert witnesses in litigation and in legislative halls, correct?",That's what they were saying in Option B there; that is correct.
"And in the second paragraph, if you could r^ad the last sentence, please.","One one might also question how long it would take for the witnesses to acquire the ""taint"" of industry money."
Do you know what that means?,"I think I can I think I oan understand in*, yean."
