question,answer,Declarative_Text
"Miss Bonhomme, good morning.","Good morning, Mr. Bigger."
"Let me ask this again. Mr. Cantor is acknowledging here to Mr. DuPuis, who was the vice-president in charge of, you know, R&D at that time for Philip Morris, that sales would indicate that flavor appeal is important only to the new smoker and the undecided smoker. Because earlier on he's acknowledging in this document how, you know, with flavor of success of cigarettes you !; don't notice of the flavor anymore. It's just not there. That's essentially what he's saying in this letter. Would you agree?",
"Just to clarify for the record, you were in youth smoking prevention after the year 2000?","Yes, 2000 to 2004. \"
"Okay. Certainly not in 1955, right?",I was three-years old.
"And in 1955, Philip Morris had no youth smoking prevention program?","They had no youth smoking prevention I department, right. \"
"Um-hum, right. All right. Let's move on to a different subject.",
"All right. So the first one there is PT6018. So you have PT6018 which is a letter dated March 10th, 1961?",Yes. \
"Okay. And this is a letter written by Helmut Wakeham, director of research and development for Philip Morris?",Yes.
"It's written to Mr. Joseph Bevis, I believe it's pronounced, president, Opinion Research Co rpo r at i on ?",Yes.
"And that's in Princeton, New Jersey?",Yes.
"It says, Dear, Joe, Does Opinion Research Corporation do product profile testing based on consumer needs and desires for product characteristics? If so, we would be pleased to have your representative call on us to tell us what you have done along this line. If he is able to sell us, we would expect to pose some questions and invite a proposal for future work by ORC."" Correct? Yes And ORC being Opinion Research Corporation? That's correct. Next, if you will, Mr. Geraghty, I'll hand you PT6020. And if you want",
"Mr. another letter to Mr. Joseph Bevis from Helmut Wakeham, director of research and development.",Yes.
"Says, ""Dear, Joe, In response to your letter of March 27th, we are proposing herewith for your conversation four question areas. Number one, Why does the nonsmoker not smoke? Is it because he dislikes the taste of cigarettes or because he does not feel the need to indulge in smoking which is considered bad? Is it because he is apprehensive from a health standpoint? Under what circumstances would the nonsmoker be willing to take up smoking?"" Did I read that correctly?","Yes, I did."
"And this is so essentially Dr. Wakeham, director of research and development for Philip Morris, Incorporated is posing some question areas that he wants Opinion Research Corporation to look into for him or possible areas to look into.","Yes, in looking at it he is saying here's some thoughts on potential projects, and I want you to j think about it, and then the company requested that | they select two. |"
"Yeah. But among the thoughts that Dr. Wakeham, director of research and development has, the things that are he's mulling over having Opinion Research Corporation look into is why does the nonsmoker not smoke and under what circumstances would the nonsmoker be willing to take up smoking, correct?",
"It says, Under what circumstances would the nonsmoker be willing to take up smoking?",Right. I
"And the first sentence there says, ""Why does the nonsmoker not smoke?"" in that same paragraph.",Yes. So and I didn't understand your | question. I'm sorry. |
I'm sorry. I'm saying those are the things that he's considering having Opinion Research 0 Corporation look into?,Yes. I
Those are the areas that as director of research and development he's identified as possible 4 areas that are concerns for him. Why does the nonsmoker not smoke; under what circumstances would the nonsmoker be willing to take up smoking are number one there?,
"And as you pointed out, he said I think you should try not to tackle all four of these subjects. I would suggest you pick two with which you think you could be most successful in your study, right?",That's correct. (Plaintiff's Exhibit No. PT6020 for i.d.) j
Okay. So looking at PT6020... This is 6020? Yeah. What's that other one you've got there?,This is the prior one. ;
Okay. Great. You can kind of leave them. I don't know if you want to refer to them again.,Okay.
"I'm just going through a few of these that I think are related, and there may be some questions in general about this time and this project, so I guess best to keep it in front of you there just in case you want to refer back to it.",Okay. !:
But looking at PT6020,Okay. |:
"which is a one-page letter dated July 24th, 1961, and this is, again, from Dr. Helmut Wakeham, vice-president and director of research and development, Philip Morris, Incorporated",Correct. jj
"to the Opinion Research Corporation, Princeton, New Jersey, attention: Mr. Joseph Bevis, chairman of the board.",Yes. j
"And among other things in this letter, they identify that Dr. Dunn, Dr. W.L. Dunn, William Dunn, will be the representative on behalf of Philip Morris who will work with you in the development of this program that he's referring to, correct?",Yes. \
"And that program being the for this letter, talking about a study on cigarette packaging and smoker satisfaction as outlined in your proposal dated June 1961, correct?",Yes.
And that was one of the programs that they had selected to go forward on was a cigarette packaging and smoker satisfaction study?,That's correct. (Plaintiff's Exhibit No. PT6021 for i.d.)
"All right. So let's look at PT6021. So PT6021 is a December 27th, 1961 letter from the Opinion Research Corporation to Dr. Dunn.",Yes.
"And this letter is actually written by a name which I will struggle to pronounce but looks likes Shoi Balaban Dickinson, Ph.D.?",Yes.
All right. And that's the survey director for the Opinion Research Corporation?,"I believe so, yes."
At least that's what's written in there is the title?,"Yes. 0 Q. And this letter to Dr. Dunn it says, ""Dear Bill, As I mentioned when we were in Richmond, we were planning to offer a new research service studying the teenage market. Any company interested in obtaining 4 information on teenagers' use of their products or teenagers' attitudes toward their products can participate. With this kind of multiple sponsorship we can offer a very attractive price to individual participants. The sample for the ORC teen study will consist of 1,000 teenagers and will be a nationwide probability sample. Personal interviews will be conducted by our trained ORC resident interviewers. Since teenagers currently constitute a portion of the cigarette market and are continually entering that market, we think this research service will be of interest to you. We have developed a 30 or 40-minute presentation which covers all the teenage market and discusses how to reach it effectively, as well as describing in detail what the ORC teen study can do. ""I would like to come to Richmond and do this presentation for those people to whom you think this would be of their interest. May I suggest January 24th, January 25th, either morning or afternoon is possible. 0 ""Thanks?"" Correct?"
So we saw earlier that Dr. Dunn had been 4 designated as a representative on behalf of Philip Morris in that letter from Dr. Wakeham?,Yes.
"So and so Opinion Research Corporation, this survey director, I think it's a Ms. Dickinson, is writing a letter to Dr. Dunn offering a new research service on obtaining information from teenagers?",Yes.
Correct?,Correct.
"All right. Let me turn your attention to PT6143. Oh, I'm sorry. Before I do that, one of the parts of the letter is identified in here, I think it's the fourth paragraph, says, ""Since teenagers currently constitute a portion of the cigarette market and are continually entering that market, we think this research service will be of interest to you. Regardless of, you know, their ORC's feelings of whether the research service is of interest, I wanted to focus on the first two pieces of that sentence.",Okay.
"""Since teenagers currently constitute a portion of the cigarette market..."" That was true. In 1961 and in the 1950s and even today teenagers 4 constitute a portion of the cigarette market.","Yes, that is common knowledge, yes."
Okay. And they are continually entering that market. That's also true?,"Yes, that is common knowledge. Rates are declining most recently."
Right.,"Youth smoking rates are lower this year than prior years. But, yes, teenagers are entering that market."
"In the 1960s the youth smoking rates were not declining; they were increasing, weren't they?","I can't off the top of my head answer that. There were time periods after the 1960s where there were increases, but I can't specifically off the top of my head say what was going on in the '60s, if it was steady or increasing or declining."
"Okay. And the teenagers that are continually entering that market would be the people the market who the market she's referring to is cigarette market, smokers, right?","That's what she's referring to, yes."
And so entering that market means becoming smokers?,"Yes. As the population ages, the younger children become teenagers, and some of them experiment with cigarettes and start to smoke, yes."
And some of them become regular smokers.,"And some of them become regular smokers, \ yes. (Plaintiff's Exhibit No. PT6143 for i.d.)"
"Okay. Let's look at PT6143. And I'm sorry. If you're taking notes and I'm handing you those documents, next time I'll just keep them over here. Sorry about that. Just causing you to have to stop taking notes.",
"All right. So that we have a letter dated February 8th, 1962?",Yes. I
"From the Opinion Research Corporation, again, Miss Dickinson?",Yes. \
Written to Dr. Dunn again?,"Yes, that's correct."
"And this is PT6143 for the record. So this is, what would that be, about a month, maybe month and a half, not quite a month and a half after the last letter we looked at?",Yes.
"Okay. It says, Dear, Bill, This is just to keep you up to date on our follow-up of showing our teen study presentation to Jet Lincoln."" So sometime between December 27th when Miss Dickinson writes this letter to Dr. Dunn suggesting coming down and coming to Richmond to make a presentation for involvement in the teen study, Dr. Dunn presumably corresponded with her and arranged for that to happen?",
"Well, someone from Philip Morris communicated with Ms. Dickinson, and she came down to Richmond and made a presentation to Jet Lincoln?",That's fair.
"Okay. ""Joe Bevis and I called on Mr. Lincoln yesterday and felt we received a good 0 hearing for the teen study. However, Mr. Lincoln had made it very clear on the telephone even before we went over that he really was not particularly interested in this but would look at it. 4 ""I am still very eager to show this to you, Bill, not necessarily because I thin you might participate in the study at this time, but because I think it is something you should know about as a means of collecting information on a market that is very important to you. ""The next time you're in New York if your schedule permits, perhaps we could get together, and I could put on this presentation for you."" And then she talks about an article that appeared in Time Magazine.",Yes.
"Okay. The Jet Lincoln, what was his role in this at this time?",He was a senior executive.
Okay.,"I don't know his exact title, but executive."
Senior executive?,Um-hum.
"So they made the presentation to Mr. 0 Lincoln, and he just wasn't that interested?","That's correct. 22 Q. All right. And in years to come after Philip Morris, though, would use the Opinion Research 4 Corporation for some survey work and some studies, 5 correct? j"
And some of the studies that they used Opinion Research Corporation for involved collecting information from teenagers?,
Right. And that's what I was referring to.,"However, if you are speaking to that | would be ten years down the road, different department | 19 of people. Different purpose. 0 Q. Yeah."
Right.,This looks like this is a study that they were putting in place with other organizations and wanted Philip Morris to join into that creation of that study. It would be cross-product categories.
"Yeah, just by way of context, that happens frequently where organizations would put a study out and ask, for example, if it was a study of teenagers, they would put a study out that asks about what bicycle do you own; maybe what, you know, car does your family own; what soda do you drink. And, you know, if it was involving gathering information on cigarette smoking, they'd say what cigarettes do you smoke?",Yes. And
And then they would sell it to the different 0 companies?,"To even clarify that further, oftentimes they start creating the study by getting the involvement of other, of companies. So my interpretation of this is they were at the very early stages with this teenage initiative. And it was a program they wanted to put in place so that companies i could participate in the creation of the study and ji direction of the study. And then subsequently into I other companies that weren't involved in the details of l the project could for a fee add a few questions to the j; study. ;"
"Add a question to that, yeah.",Yes. \
"And you what you mentioned earlier is although they only used Opinion Research Corporation for other aspects of the proposal that we looked at earlier, they eventually in years to come, I think it was in the '70s at least at the earliest, they began using Opinion Research Corporation. Philip Morris you know, that question got way too long. Too many days. You mentioned earlier that Philip Morris eventually used Opinion Research Corporation for studying teenage smoking.",
"Right. But they eventually as I was asking, they eventually used Opinion Research Corporation to do some research on teenage smoking?",
Go ahead.,"Okay. From what I saw, I wouldn't characterize it that they used Opinion Research to conduct research. I would characterize it as that they j acquired some information from Opinion Research. On \ two occasions, very limited information. So it wasn't ; that they later got information that was in-depth tied I to this project. \"
Right. Okay.,Very different. i
"I understand what you're saying. Earlier we looked at PT0169, which I think we just mentioned a minute ago about the four 9 j proposals, if you will, for Opinion Research Corporation.",Yes. I
"And, as you mentioned, they didn't it appears they didn't use Opinion Research Corporation for number one.",That's correct. I
Why does the nonsmoker not smoke? Under what circumstances would the nonsmoker be willing to take up smoking?,Yes. That's correct. | (Plaintiff's Exhibit No. PT99999 for i.d.) |
"Okay. Let me show you what we marked as PT99999. And I apologize. This was one where there's a different PT number eventually for this, but it's somehow some got goofed up, so I just assigned it 99999 | so we can see what it is in the record. 19 MR. GERAGHTY: All right. And I object to this document as outside the scope. |",Yes.
"And it basically says, you know, there's subjects that are going to be related to projects at a meeting to be held at 9:30, Friday, November 10th setting forth sort of, if you will, an overview of short-term and long-term projects. Is that an accurate description or a fair characterization I should say?",
"Well, I'll just ask you a different way if I will. This letter, this memo to the members of the Research and Development Operating Committee sets forth some short-term and long-term projects for research and development.",It's it's short term and long term. I don't know if they're projects or what they are.
"Well, the title is product and process objectives research and development. You see that?","Yes, I see that."
So at least we can say these are short-term and long-term objectives. How's that?,
"Okay. All right. Well, I don't want to quarrel over those things.",Okay.
The only reason I'm showing you this is that I want to you look at this document.,All right. \
"I want you to see that, you know, obviously Dr. Wakeham who we've mentioned from PT6019, April 7th, 1961, that other letter, right?",Yes. j
"We've got Dr. Dunn there at the bottom, Bill Dunn?",Yes.
We've got Dr. R.B. Seligman?,Yes.
And you know Dr. Seligman would eventually become director of research and development?,Yes.
Okay. And then Dr. Wakeham is mentioned down there at the bottom as well?,Yes.
And Dr. Mace?,Yes. :
"Okay. The longterm objectives, down there at the bottom, one of the long-term objectives was cigarette for the new smoker. Do you see that?","I see those words. I don't see the word j; ""objective."" I just see ""long-term."" ;"
"Okay. All right. Under long-term it says, ""Cigarette for the new smoker,"" correct?",Yes.
"And the new smoker is someone who was a nonsmoker and now has become a smoker, right? That would be a new smoker?",
"All right. So, I mean, on behalf of let me strike that. You don't understand that new smoker means someone who is a new smoker, someone who wasn't a smoker and now is a smoker?",
Okay.,I'm not familiar with whether this phrase here ties to that -- the definition that was used in the marketing and marketing research department or not. I don't know.
"What you're saying is that the marketing department, you're familiar with the idea of wanting to get someone to become a new Marlboro smoker or a new Philip Morris brand smoker, not someone who was a nonsmoker that's going to become a smoker?",
"So we have again, this is a document created by Bill Dunn, William L. Dunn, Jr.?",Yes.
Assistant to the director of Philip Morris Research Center?,Yes.
"He was staff assistant to Helmut Wakeham, the director of R&D?",That's my understanding.
"Okay. And the top at the top there's a date, 6-20-62? You see it above the instructions.","Oh, the handwritten, yes. Okay."
"And so essentially there's an instructions page here. It says as follows: ""We are constantly trying to improve our present cigarettes and exploring possibilities for new cigarettes. During the next two days, we'd like to have you smoke some test cigarettes and tell us what you think of them."" 0 And then it goes on to describe what, you know, they want them to do, how many packs you're going to get and, et cetera. It gives some additional instructions. Is that fair?",Yeah.
"Okay. What I want t o t u r n your a t t e n t i o n t o is the last page. So in addition to giving cigarettes to smokers, they were also giving cigarettes to nonsmokers and asking them to take a few puffs of these cigarettes, correct?","That's what this shows, yes."
"Yeah. So it says, ""Questionnaire for nonsmokers: We know that smoking cigarettes is not something you enjoy doing. However, we're going to ask you to take a few puffs off of some cigarettes because it is vital that we get some idea about what kind of cigarette would appeal to a beginning smoker."" Did I read that correctly?",Yes.
"""We believe their tastes are different from those of people who have been smoking for sometime."" Did I read that correctly?",Yes.
"All right. So then he says, ""We're giving 0 you have three small packets of cigarettes. Light one up, take a few puffs. Go through all three packs in this manner."" Is that fair?","That's what it says. 4 Q. Yes. And then in the spaces below, ""Write the letters of the cigarettes so as to indicate your preference. In the first space write the letter of the \ cigarette you would most probably smoke if you intended \ to start smoking. In the bottom space write the letter of the one you dislike the most. And put the other into the middle space."" Did I read that correctly?"
"Okay. And then it says, ""Bring this one questionnaire with you tomorrow at coffee morning break in exchange for your gift. We will have extra questionnaires if you happen to forget this one. Thank you. "" Correct?","Yes, that's what it says."
So Dr. Dunn was doing some research with some folks who worked for Philip Morris on what type cigarette would appeal to a beginning smoker.,
"Well, I'm not asking what Dr. Dunn is thinking.",
Do you understand that?,Yes. \
"All right. What I want to know is are you prepared to testify today about Philip Morris's efforts in 1962 as documented in this in this letter, this document from Dr. Dunn regarding their efforts to identify what kind of cigarette would appeal to a beginning smoker?",No. \
Okay. Had you seen this document before today?,Yes. j
Okay. So it was shown to you by your attorney,Yes. after we produced the documents? Yes. \ All right. But you are not prepared today to testify about this subject?
"And as part of that program, Philip Morris became aware of its airing before it aired.",Yes. \ (Plaintiff's Exhibit No. PT6145 for i.d.) \
"Let's look at what we've marked as PT6145. All right. So I've handed you what we've marked as PT6145. It's a letter from Leo Burnett company to a Ross Millhiser, I believe it is",Yes. j
"at Philip Morris, Incorporated?",Yes.
Leo Burnett Company was Philip Morris's principal outside advertising agency?,Yes. \
Is that accurate?,That's correct.
"Okay. The letter dated September 10th, and the letter to Mr. Millhiser says, ""Although you may already have been notified, please note that on Wednesday, September 19th, CBS Reports will premiere its new season with a show titled The Teenage Smoker. The attached flier from CBS outlines the subject material on the show. I think you will agree it is a it people airing Philip is potentially a hot one, which you and your will want to see. Best regards. Leo Burnett Company."" Is that correct? Yes. Okay. So nine days or so in advance of the of the CBS Reports program on teenage smoking, Morris, Incorporated was made aware that this was about to happen? on live the pre Yes. j And in advance of the show actually airing television, a telegram was sent by Joe Cullman, sident of Philip Morris, to James Aubrey, president of CBS Television? to look I believe it was the same day. I would need ; at the dates. I Sure. You have I Let me just hand it to you. You have an advantage here of having them. ji (Plaintiff's Exhibit No. PT6146 for i.d.) \",
"You know, that's fair. I do. And that is PT6146.",Okay.
"And let's just read this for the record, and then I'11 ask you a few questions about it.",Okay.
"So we have a Western Union telefax from Philip Morris to Mr. James T. Aubrey, president, CBS Television. Does that look correct?",Yes.
"And it's dated 9-19-62, September 19th, 1962?",Yes.
"Okay. It says, ""Wish to express my keen disappointment at the editorial imbalance in the CBS Reports show scheduled for tonight titled The Teenage Smoker. An attempt should be made to tell both sides of this important question, and we are shocked to find that this has not been done. The public deserves to 0 know about the accumulating weight of evidence that favors the industry's position. 2 The program as shown on closed circuit to your affiliates yesterday is so biased that it 4 constitutes a distinct disservice to millions of 5 smokers and to one of America's basic industries. Joseph F. Cullman, III, president, Philip Morris, Incorporated. Did I read that correctly?","Yes, you did. :"
"So a couple of things that are apparent from this telefax is that Philip Morris and its, at least its president, if not other individuals with the company, had the ability to see the program on closed circuit before it aired live on TV.","Yes. If it was shared with affiliates, \ yes I"
Right.,it seems that way.
"Well, and from the tenor of this telefax it seems obvious Mr. Cullman saw this program",Yes. \
before it aired that evening scheduled to air that night?,Yes.
"And he says that he feels that the program that is going to be shown is, what is the word? Sorry. Trying to find it.",Imbalanced? Is that what it was? Let's i see. :
So biased?,"Oh, so biased. : Okay. ""...so biased that it constitutes a distinct disservice to millions of smokers and to one America's basic industries."" That was his position for the company. (sic) said - I mear"
And then within that broader context there was also a discussion within the program about smoking and health?,That was my impression.
"Okay. Understand. And in addition to Mr. Cullman well, let me ask you this. The program, the transcript that you reviewed, did you gather from your review of that transcript of the CBS Reports program that they were talking about the danger that cigarette smoking posed to teenagers?",Yes.
"Okay. So in response to having seen that program, Mr. Cullman on behalf of Philip Morris before that show airs on CBS Television that evening sends this telefax and says that this is a excuse me ""The program is so biased that it constitutes a distinct disservice to millions of smokers and to one 0 Americas basic industries.""",
"Well, he doesn't","He doesn't say, so I don't know."
"limit it? Right. I mean, he essentially says the whole program?",
That's what he says?,I don't know what he means by his statement what he's referring to.
Okay.,"It says ""the program,"" yes."
"Well, he says the public deserves to know about the accumulating weight of evidence that favors the industry's position. You understand that to be referring to his views on the smoking and health, what I'm calling controversy?",
"Okay. In addition to the telefax from the 4 president of Philip Morris to the president of CBS 5 Television before the show was aired, there was additional pressure that was strike that. There were additional communications between individuals at Philip Morris or who worked for Philip Morris and CBS Television. Did you see that as well? Yes. j (Plaintiff's Exhibit No. PT6147 for i.d.) \",Yes.
So this letter says,
"Henry O. Pattison, Jr. is who the author of this letter is. Do you know who Mr. Pattison is?",I don't.
You're not aware whether he is in-house counsel or outside counsel for Philip Morris?,I'm not.
"All right. In any event, he writes this letter to Mr. Aubrey. It says, ""We've just been informed that as part of tonight's episode of CBS Reports dealing with the smoking practices of teenagers you plan to use filmed reproductions of Parliament advertising material produced by us for our client, 0 Philip Morris, Incorporated. Did I read that correctly?","Produced by us for our client, so this is the producer. 4 Q. Looks like it's the outside"
"Okay. So this is from Henry Pattison, Jr. And it's obvious that it's written before the program is aired, correct?",Yes. \
"Because he says, ""We've just been informed that as part of tonight's episode you plan to use material...""",Yes. \
Okay. So he's writing this to the president of CBS before the program has even aired on television?,That's correct.
"It says, ""This will serve as formal notice to you that we expressly forbid any such use,"" referring to the Parliament advertising material, correct?",Yes. ;
"""Disregard of our wishes in this matter by you will constitute a willful invasion of our legal rights and those of our client for which we will hold you fully accountable."" Did I read that correctly? A Q Yes. ""I urge you as a reputable organization not illegally and irresponsibly misuse material owned by others which has come into your possession by virtue of trust Mr which we have placed in you."" Signed by Pattison, Jr. A Q Yes. And obviously this is a is it fair to characterize this as a threat to CBS not to air this program with this material in it?",
Right. And telling them that they forbid any use of that material?,Of that material. Not of the show not airing. They're not saying don't air the show. They're saying don't use this material that is our j; commercial material in your show.
"And they say, ""Disregard of our wishes in this matter will constitute a willful invasion of our legal rights and those of our client, Philip Morris, for which we will hold you fully accountable.""",
Correct?,That's what it says.
"And, again, that was before the program even aired, they were sort of preemptively trying get them to not use this Parliament advertising material?",
Little too late then?,It had to before. had l
"All right, Miss Bonhomme. Back on the record. Let me hand you PT6148. This is just the same subject we were talking about earlier, the CBS Reports teenage smoking program that was going to air September 19th, 1962.",Yes.
"It's a letter from Paul D. Smith, 0 vice-president, general counsel for Philip Morris, Incorporated to James T. Aubrey, president, CBS Television dated September 19th, 1962.","Yes. 4 Q. It says, ""Please be advised that Philip 5 Morris, Incorporated forbids the use of any of its advertising material by you without its permission. Such use is also prohibited by our various contracts. Unauthorized use may involve talent problems, violation of copyright, and disparagement and destruction of our continuing advertising themes. This applies particularly to commercial material currently in use. Please be further advised that this company holds you responsible for any loss or damage suffered by it by reason of such an unauthorized use, including, but not limited to, the cost of the development and production of substitute commercial material of equal quality. ""Very truly yours, Paul D. Smith, vice-president, general counsel."""
Did I read that correctly?,Yes.
"So this is another letter in advance of the airing of this program on CBS Reports, The Teenage Smoker, threatening legal action and putting CBS on 0 notice that if they use its advertising materials without permission, there will be consequences?","It seems to be that he's indicating there would be legal consequences if they used commercials i for one of our brands, yes. \"
"Right. So, again, in advance of the program \ airing, this is another action by someone either from or associated with Philip Morris contacting CBS Television and advising them against using some material that they plan to air that night in that CBS Reports The Teenage Smoker program?",Using \
"Well, you read the transcript. You said excerpts of the",Excerpts.
"Did you see in any of the experts excerpts, how they plan to use those television advertisements?",I didn't. j
You didn't see that?,I didn't see that portion.
That wasn't part of excerpts?,I didn't read that portion. :
Okay. Okay. So you're not aware how that how those excerpts or how the tele excuse me. Strike that all that. You're not aware how the advertising material that was used in the program was used,No.
when it aired?,No.
Okay. So you don't have any way to know whether do you know whether CBS complied with these legal threats?,
"Okay. Let me show you PT6149. It says at the top, ""Telegram received September 20th, 1962, 9:10 a.m.?",Yes.
So this would be the day following the airing of that CBS Reports program?,Yes.
"And it was this is a telegram from Mr. Salant, Richard S. Salant, president of the Columbia Broadcasting System?",Yes. j
"And not to be confused, but the other letters we saw were to James T. Aubrey who was the president of CBS Television. Right?",Yes. j
"And this is from Richard S. Salant who's the president of CBS, Columbia Broadcasting System",Yes. \
"written to Mr. L.S. Matthews, executive vice-president of Leo Burnett Company, who as we mentioned earlier is Philip Morris incorporates Incorporated's principal outside advertising agency?",That's correct.
"Okay. It says, ""This is in reply to your telegram to several CBS personnel concerning the CBS Reports, The Teenage Smoker. We wish to advise you that the brief segments of commercials to be used as outlined in the documentary were all obtained by means of off-air audio records of material broadcast to the general public. The program does not include any material taken directly from commercials which you, as the agent of the sponsor of programs of our facilities, have made available to us. In these circumstances and in view of the manner in which these segments are used in the program, we do not believe there is any basis for loss or damage to you or your client or for breach of business ethics or practice."" Did I read that correctly?",Yes.
"So essentially the president of CBS responds that, you know, our use of these advertisements was not only legally appropriate but not in any way a violation of our business practices together. Is that fair?",That's fair.
And do you understand that as a result of the airing of this program by CBS Reports that there were subsequent meetings with CBS and executives from Philip Morris?,Related to this program?
"Yeah, related to the airing of this program.",Right. There would always be subsequent meetings. Yeah.
Right. But what I'm asking is are you aware 0 that there were how you Scratch that. It doesn't make any sense. Let me just show you the documents. Here you go. (Plaintiff's Exhibit No. PT6150 for i.d.) 4 BY MR. BIGGER:,
"This is PT6150. Because whether or not you're aware doesn't is not what we're here about. Asking bad questions. All right. So I've handed you PT6150, which \ is a letter dated October 9th, 1962.",Yes. j
"And this is from James Bowling, James C. Bowling?",Yes. :
Do you recognize that name?,I do.
And who is Mr. Bowling?,He was an executive at Philip Morris. He j; had various positions throughout his career. i
Okay.,But he worked in the New York office when I knew him and he was an executive.
"And he wrote this letter to Mr. Cullman who was Joseph Cullman, president?",Yes. \
"Millhiser, which I think was a name we saw on the other letter from Leo Burnett nine days in advance advising this program was going to air?","Yes, we saw the Ross Millhiser."
"Ross Millhiser. Exactly. Green, Smith & Landry. Smith, you believe that to be Paul Smith, general counsel.",Yes. !:
"Who we saw on PT, what was that, 6148?",Yes. \
"All right. And then how about Green and Landry, do you know who those two individuals are?","Jack Landry. And Green, I don't know Green. j: I'm not familiar. I didn't look into that name for :| this document. \"
"Okay. So the letter says, ""Here is some material prepared by Hill & Knowlton that will be helpful background for the October 11th meeting with CBS. "" So obviously there's a meeting coming up with CBS on October the 11th; is that fair?",Yes.
"""The first document is an analysis of the CBS Reports show of September 19th entitled The Teenage Smoker. The second is an account of some newsmen's reactions to the CBS Reports show which indicates that newsmen believe the program supported the 'anti-industry,'"" in quotes, ""position.""",Yes. \
"""The third item is a 'briefing kit,T in quotes, ""which serves as general background on the smoking and health controversy. A full text of the CBS Reports show is available as well as a tape and a kinescope if you would like to review it prior to the meeting."" Signed James C. Bowling.",Yes. j
"Okay. So following the airing of this program by CBS on The Teenage Smoker, September 19th, 1962, meetings were arranged between Philip Morris, Incorporated and CBS and CBS?",Yes. \
Is that right?,Yes. j
"And as part of those meetings, they included reactions by some individuals who saw the show that thought that it was, as Mr. Cullman put in his telegram, biased against the industry position.",
Is that fair?,I see what it says. It appears that they're I including information of that type. i
"Right. Some accounts from other individuals who saw the program who would effectively corroborate, you know, Mr. Cullman's opinion that the program supported the anti-industry position?",Yes. I
"And then the third item is that briefing kit which is general background on the, quote, smoking and f health controversy, right?","That's what it says, yeah. |"
"So in response to CBS Reports airing a program on The Teenage Smoker, Philip Morris, Incorporated sought and perceived a follow-up meeting to go over the content of that program and to discuss the industries's position on the smoking and health controversy?",
"That's what this letter clearly indicates, doesn't it?","This letter doesn't indicate that the | meeting took place. But it indicates that in | anticipation of the meeting, they were preparing | 19 materials for that meeting. 0 Q. And part of your preparation for today's deposition, did you look into whether the meeting took 2 place?"
So on behalf of Philip Morris you're not able to address that it did or did not happen today?,That's correct.
"Regardless, we've seen now that when CBS Reports was airing a program on The Teenage Smoker that contained information regarding smoking and health issues, the response by Philip Morris was to have its president send a telegram with very stern language to have its general counsel threaten legal action for use of advertising and then to have subsequent meetings following up with CBS to further address the industry's position on smoking and health.",
"Okay. You don't think that all these documents we just looked at properly characterize the 0 situation as Philip Morris through its most senior executive, among others, writing or communicating with CBS that they were very dissatisfied with them airing this program?","They the takeaway from these documents is that they were concerned about commercial use of their material in the -- in this show. And that was one i issue. And then in addition to that, they were ji concerned that the show was biased against the I industry. And it looks to me that they wanted to have j: a meeting to discuss their perspective with CBS after j; the show aired, so that they didn't do any, anything in i terms of changing how the show aired as a result of the jj letters on the 19th. :|"
"Isn't the fair characterization of what was going on here that Philip Morris was concerned with CBS airing a program about the teenage smoker that communicated a message on the health effects of smoking differently than what the industry's position was, which at that time was there is no connection, there is no health hazard in smoking?",
"Well, I mean no disrespect but I think he quite specific in his telegram about the fact that public deserves to know about the accumulating ght of evidence that favors the industry's position. know that means the industry's position on the smoking and health issue?",
"Miss Bonhomme, in light of your attorney's instruction not to answer, I'm not going to ask you that question again. You've been instructed not to answer it, and you're going to, I'm sure, follow your instructions",
"All right. Miss Bonhomme, what I'm trying to get at here is we look at the follow-up letter, October 9th, 1962 after the program, nothing in the follow-up letter discusses the use of advertising material or the improper use of Parliament advertising, does it?",That's correct. i
"Yeah. What it talks about is the briefing kit on the smoking and health controversy, the newsmen's reactions to the CBS Reports show that they agree that it was anti-industry, and then the analysis which by Hill & Knowlton of the CBS Reports Teenage Smoker show. That's what was referred to in this letter?",Yes. :
"All right. The telegram from Mr. Cullman to Mr. Aubrey is talking about the disservice to the public by not knowing about the accumulating weight of evidence that favors the industry's position and the program being so biased that it constitutes a distinct ; disservice to millions of smokers. He's referring to the information in the program on the smoking and health issue, isn't he?",
"That's the fair characterization of this telegram, isn't it?",Just repeat of the telegram.
The fair characterization of Mr. Cullman's telegram,Let me go back. i
is that he is referring to,
"No problem. And if you need to read it to refresh, that's fine.",Okay.
"Have you had a chance to read it, refreshed?",I did.
"What I'm trying to ask you is, the concern expressed by Mr. Cullman in that letter fairly characterized is the disservice to the public because they're not hearing about the industry's view on the smoking and health question. And they're getting a biased program that only presents one side of that smoking and health issue?",
Isn't that fair?,"Again, I can't specifically say what he was referencing in the program. The program was about teenage smoking. And there was messaging about the smoking and health issue also. And I can't speak to specifically what Mr. Cullman was referencing here."
You read some excerpts of the transcript of 0 the program,Yes.
"which we've established. The program was about the prevalence of teenage smoking and the fact 4 that is it safe for teenagers to be smoking when it may cause lung cancer. I mean, that was some of the central questions in that program, right?",
"Well, did you see that in the excerpts that you reviewed?",I saw that there was topics related to \ smoking and health. I don't remember specifically them.
